DateTime,AddedIPs,RemovedIPs
1624407858,1,2
1624408582,2,4
1624409305,6,6
1624410029,5,3
1624410741,4,7
1624411459,7,11
1624412182,11,6
1624412896,4,12
1624413629,3,10
1624414336,4,7
1624415058,2,7
1624415782,6,7
1624416498,8,4
1624417227,5,7
1624417937,3,3
1624418658,6,6
1624419380,1,0
1624420102,5,1
1624420833,3,8
1624421540,4,5
1624422259,0,5
1624422980,2,3
1624423697,1,2
1624424442,2,2
1624425383,2,0
1624426098,2,1
1624426821,3,3
1624427538,1,1
1624428266,1,1
1624429219,1,1
1624429937,3,4
1624430660,1,0
1624431379,2,0
1624432342,3,5
1624433058,0,2
1624433780,0,1
1624434499,2,1
1624435229,2,1
1624435941,1,2
1624436662,1,0
1624437382,1,2
1624438098,0,2
1624438829,3,0
1624439540,0,1
1624440263,4,3
1624441222,1,1
1624441938,1,1
1624442668,4,5
1624443397,1,0
1624444099,2,1
1624444823,5,4
1624445541,2,2
1624446271,0,2
1624446980,2,0
1624447701,3,2
1624448421,3,0
1624449140,0,2
1624450582,2,2
1624451299,1,0
1624452019,3,3
1624452737,5,1
1624453467,0,1
1624454647,0,2
1624455370,3,0
1624456087,2,2
1624456825,2,4
1624457770,2,2
1624458485,1,3
1624459222,0,1
1624459939,3,0
1624460677,1,4
1624461378,2,0
1624462098,6,2
1624462820,1,1
1624463538,3,2
1624464269,0,3
1624465224,1,1
1624465937,2,0
1624466665,2,2
1624467379,4,1
1624468098,3,3
1624468818,2,2
1624469537,2,2
1624470259,1,1
1624470980,2,2
1624471703,1,1
1624472420,2,2
1624473140,5,2
1624473858,3,2
1624474828,0,1
1624475542,3,3
1624476263,2,1
1624476979,1,4
1624477699,4,1
1624478428,4,0
1624479139,0,2
1624479869,2,4
1624480582,3,1
1624481299,3,1
1624482030,0,1
1624483210,4,7
1624483928,2,4
1624484648,1,5
1624485367,2,7
1624486329,2,3
1624487050,3,2
1624488009,2,3
1624488733,2,1
1624489454,0,2
1624490411,5,3
1624491124,2,4
1624491847,5,6
1624492831,5,7
1624494261,4,2
1624495221,5,7
1624495936,8,3
1624496666,2,8
1624497381,5,0
1624498102,11,7
1624498819,9,15
1624499538,2,9
1624500266,2,10
1624500977,10,7
1624501700,4,4
1624502420,2,5
1624503139,4,5
1624503871,6,4
1624504577,5,3
1624505298,6,5
1624506018,3,3
1624506738,4,4
1624507466,0,3
1624508422,6,5
1624509136,4,2
1624509863,1,4
1624510577,1,3
1624511544,4,2
1624512260,1,1
1624512978,2,2
1624514671,3,0
1624515376,1,0
