DateTime,AddedIPs,RemovedIPs
1623966845,1,0
1623968650,2,1
1623971167,0,1
1623972247,3,0
1623972967,0,1
1623973686,1,0
1623974766,1,1
1623975485,1,0
1623976927,1,1
1623977646,3,0
1623978725,0,2
1623979866,2,0
1623983412,3,0
1623986289,0,1
1623987009,1,1
1623988445,3,3
1623989886,0,2
1623991685,2,2
1623994209,1,3
1623994927,2,0
1623997808,2,0
1624000687,3,0
1624001408,0,2
1624003625,0,1
1624004647,1,0
1624006085,2,2
1624007525,1,1
1624008608,1,0
1624009686,2,2
1624010765,1,0
1624011486,1,0
1624012208,0,2
1624012567,1,0
1624014365,1,0
1624015085,1,0
1624016525,0,1
1624019769,0,2
1624020487,1,0
1624021216,0,1
1624021929,1,0
1624023010,0,4
1624025886,1,0
1624026966,1,0
1624028048,0,1
1624031647,2,0
1624032365,0,2
1624037408,1,0
1624037766,1,0
1624040652,2,0
1624041012,0,1
1624043525,2,0
1624045686,2,0
1624047485,0,1
1624048568,0,1
1624051087,1,0
1624052165,1,0
1624053701,0,1
1624055053,1,0
1624055412,0,1
1624056127,1,0
1624058648,1,0
1624059727,0,2
1624061527,0,1
1624063685,1,0
1624065487,1,1
1624066208,1,2
1624067287,1,0
1624068367,0,1
1624069809,0,3
1624070167,1,0
1624074486,1,0
1624075566,2,0
1624077726,0,1
1624078926,0,1
1624080967,0,1
1624082045,0,1
1624082767,0,1
1624084208,0,2
1624085646,2,0
1624086726,0,2
1624087446,1,0
1624091765,0,2
1624093926,0,1
1624095007,0,2
1624097166,3,0
1624098965,2,1
1624100765,7,1
1624102927,0,1
1624104726,1,1
1624105446,1,0
1624106167,0,1
1624108688,2,0
1624109765,1,0
1624111565,0,1
1624113366,0,1
1624114085,1,0
1624115885,1,0
1624116966,1,1
1624117685,1,0
1624119485,0,1
1624120208,0,2
1624121286,1,0
1624122014,0,1
1624124166,0,1
1624125967,2,2
1624127412,1,1
1624128126,2,0
1624131368,0,1
1624133166,1,0
1624133886,1,0
1624134609,0,2
1624136768,2,0
1624138565,0,1
1624140365,0,1
1624142165,0,3
1624145407,1,5
1624147927,1,2
1624150088,2,1
1624152609,0,1
1624156209,0,2
1624157289,0,2
1624158727,0,3
1624159866,0,1
1624160528,1,0
1624161725,1,1
1624163765,0,1
1624166646,2,0
1624167366,1,2
1624169887,0,2
1624170608,1,1
1624172767,1,1
1624174208,1,4
1624175645,1,0
1624176369,0,1
1624178165,1,1
1624179967,2,3
1624180686,1,0
1624181408,2,3
1624182126,1,0
1624182485,1,0
1624184286,2,0
1624184646,1,0
1624185365,0,1
1624185726,1,0
1624189327,2,0
1624191185,0,1
1624192208,0,1
1624192926,2,0
1624196529,0,1
1624198689,0,1
1624201569,0,1
1624202288,1,0
1624203366,0,2
1624204505,1,0
1624205164,1,0
1624207326,0,2
1624210570,0,1
1624211646,1,0
1624213812,0,3
1624218127,1,3
1624219927,1,0
1624222088,1,4
1624224967,0,1
1624226767,1,1
1624228567,0,1
1624229705,0,1
1624230846,1,0
1624232525,0,1
1624234686,0,3
1624235766,1,0
1624237566,1,0
1624239727,2,1
1624241544,0,1
1624242967,1,0
1624244765,1,1
1624245487,1,0
1624246212,1,1
1624246925,1,0
1624247647,1,0
1624249447,1,0
1624251246,0,1
1624252685,0,1
1624253408,1,0
1624254125,1,0
1624255216,0,2
1624257008,1,1
1624259885,2,0
1624261026,2,1
1624266726,6,2
1624267445,2,0
1624269246,1,3
1624270325,1,0
1624271046,2,0
1624271766,0,2
1624272485,1,0
1624273565,0,2
1624277184,0,1
1624277885,3,0
1624281856,1,1
1624283646,2,1
1624284366,2,1
1624286227,1,3
1624287965,1,1
1624288684,1,0
1624289045,1,0
1624293007,1,0
1624295166,1,2
1624296608,0,1
1624299006,1,0
1624300926,1,0
1624302725,1,0
1624303808,1,1
1624306689,0,3
1624307410,0,5
1624312085,1,0
1624313889,1,0
1624314611,1,0
1624315329,1,0
1624318565,0,1
1624321085,1,1
1624321808,3,0
1624323964,3,1
1624325410,0,1
1624327927,2,0
1624329367,2,0
1624331165,0,1
1624331886,1,0
1624332611,1,0
1624333326,1,0
1624333686,1,0
1624335486,5,0
1624336209,1,1
1624336927,1,0
1624338727,1,0
1624340166,1,3
1624341965,1,1
1624343766,0,1
1624344485,1,0
1624344847,1,0
1624345565,2,0
1624347007,1,1
1624347725,1,1
1624348828,0,2
1624349946,1,0
1624350610,2,1
1624353485,0,3
1624354566,0,2
1624357086,2,1
1624358528,0,2
1624360325,2,0
1624361767,1,0
1624364289,1,2
1624366816,3,1
1624368612,0,1
1624371125,1,0
1624372210,0,1
1624372925,0,1
1624374366,1,1
1624375086,1,0
1624375808,1,1
1624380908,1,0
1624381565,0,1
1624383727,1,0
1624385530,0,1
1624388046,1,1
1624390207,1,1
1624390929,1,0
1624392729,1,1
1624394886,1,0
1624396326,1,1
1624397046,1,0
1624398131,1,0
1624399926,1,0
1624400649,1,0
1624401014,0,1
1624403526,1,1
1624404964,1,0
1624407126,1,1
1624408266,1,1
1624411446,1,0
1624414326,0,2
1624416127,1,2
1624417928,1,1
1624419066,0,1
1624419727,2,0
1624420444,1,0
1624422246,2,0
1624422967,0,1
1624423327,2,0
1624424046,1,0
1624426565,0,1
1624428366,3,1
1624430166,3,3
1624433766,1,1
1624436288,2,3
1624438086,2,3
1624440666,2,0
1624441925,0,2
1624443065,0,2
1624444569,0,1
1624447808,0,3
1624450326,0,1
1624450686,1,0
1624451408,1,1
1624455727,1,3
1624457227,2,3
1624460046,0,2
1624462267,1,1
1624465086,0,1
1624467250,1,0
1624469048,14,1
1624470126,1,0
1624470851,3,0
1624471565,1,0
1624472286,1,0
1624473365,0,4
1624474446,1,1
1624475165,0,1
1624475886,2,0
1624477327,1,0
1624480209,1,0
1624480927,0,1
1624483446,1,0
1624484886,1,1
1624491366,0,2
1624494709,3,3
1624495326,1,0
1624497126,2,0
1624499647,1,3
1624501087,1,0
1624501808,2,2
1624502167,1,2
1624502888,1,0
1624504686,1,1
1624505413,0,4
1624506126,1,1
1624508287,2,2
1624509727,0,1
1624510447,2,0
1624511166,0,1
1624512665,1,0
1624514046,2,0
1624514766,0,2
1624516566,0,1
1624518726,2,0
1624520526,1,4
1624521247,1,0
1624523411,3,0
1624525927,0,1
1624527365,0,1
1624529165,1,2
1624530966,0,1
1624533125,2,0
1624534208,0,1
1624535706,0,1
1624536727,0,2
1624537445,1,0
1624538526,1,0
1624539245,1,0
1624541409,2,0
1624542486,0,1
1624544286,0,2
1624545008,2,1
1624545726,0,1
1624547525,2,0
1624549688,3,2
1624551125,1,1
1624552208,1,0
1624555087,1,0
1624555445,0,1
1624556528,0,1
1624559051,1,0
1624559409,0,1
1624562646,0,1
1624563365,0,1
1624566967,3,2
1624569127,3,1
1624570925,0,1
1624572726,1,0
1624574165,1,0
1624576327,1,0
1624577465,2,1
1624581010,1,0
1624581726,2,0
1624585327,0,2
1624586045,4,0
1624586764,1,0
1624587487,0,1
1624590846,0,1
1624591812,1,1
1624592527,0,1
1624593725,0,1
1624597565,0,2
1624599008,3,1
1624602245,1,3
1624602966,1,2
1624603687,1,0
1624606565,1,2
1624608729,1,2
1624611245,1,1
1624615925,1,0
1624618086,1,0
1624618446,1,0
1624620609,1,2
1624622046,1,0
1624624208,0,1
1624624925,0,2
1624625646,0,1
1624626365,0,1
1624632126,0,1
1624633566,1,0
1624634286,2,0
1624634645,1,0
1624635846,1,0
1624636817,1,1
1624638608,0,17
1624639685,1,0
1624641486,1,5
1624642206,0,1
1624643346,0,1
1624644367,0,5
1624646167,1,1
1624648324,1,0
1624649407,0,1
1624650855,1,0
1624654086,1,1
1624657684,1,0
1624662125,1,0
1624663808,0,2
1624665967,0,1
1624667766,0,3
1624668907,1,0
1624670286,1,2
1624671366,0,3
1624672086,1,0
1624672824,0,1
1624674608,1,2
1624675325,1,0
1624677851,1,1
1624679646,1,0
1624680725,0,2
1624682168,1,1
1624683368,3,0
1624684686,0,2
1624687565,1,1
1624691166,1,2
1624691887,1,0
1624692608,0,3
1624694046,0,1
1624695486,2,0
1624696568,2,0
1624698725,1,2
1624700165,1,1
1624701966,1,1
1624703408,0,1
1624704847,1,0
1624707008,0,1
1624709885,0,2
1624711687,2,1
1624712049,1,0
1624715644,1,0
1624718885,0,2
1624720684,0,1
1624721765,1,2
1624725007,0,1
1624727525,0,3
1624727885,1,0
1624730415,1,0
1624731850,1,0
1624732212,0,1
1624733406,2,0
1624735445,0,1
1624736165,0,2
1624738326,0,1
1624740126,2,2
1624747687,0,2
1624749126,2,0
1624750925,0,4
1624751646,1,0
1624753445,2,0
1624754166,1,0
1624755245,1,0
1624756326,0,4
1624760285,4,1
1624761007,0,3
1624766766,2,1
1624769646,2,2
1624771497,0,1
1624771807,0,2
1624773246,1,0
1624775046,1,2
1624776485,1,2
1624778285,1,1
1624779008,1,2
1624781885,2,0
1624783685,1,2
1624785125,1,1
1624786208,0,1
1624786929,0,1
1624789088,1,1
