DateTime,AddedIPs,RemovedIPs
1624278962,38,65
1624280045,48,10
1624281853,54,61
1624283644,46,64
1624284365,14,51
1624285084,17,2
1624286226,23,61
1624287963,41,69
1624289043,26,3
1624289764,25,52
1624290484,27,2
1624290844,11,0
1624291564,17,39
1624292283,28,0
1624293005,39,43
1624293725,59,17
1624295165,60,27
1624295884,25,3
1624296606,20,47
1624297864,40,12
1624299124,36,31
1624300209,33,48
1624300924,25,16
1624302724,53,34
1624303805,21,51
1624304884,31,8
1624306686,52,30
1624307408,27,66
1624307764,17,9
1624309923,84,30
1624310643,26,1
1624311005,12,33
1624312084,35,17
1624312444,8,1
1624313162,19,42
1624313886,14,2
1624314609,16,86
1624315326,17,22
1624317123,64,24
1624317844,24,5
1624318563,28,61
1624319284,15,5
1624319643,10,2
1624321084,41,42
1624321806,28,55
1624322165,18,5
1624323963,43,51
1624325408,47,55
1624326125,25,7
1624327324,60,36
1624327926,21,4
1624328644,26,2
1624329365,32,48
1624329725,22,6
1624330445,27,10
1624331523,15,9983
1624332251,10025,0
1624332964,35,64
1624333685,37,6
1624336207,85,108
1624336925,34,31
1624338726,68,46
1624339444,22,3
1624340164,24,48
1624342324,79,47
1624343764,44,65
1624344483,19,8
1624344844,12,3
1624345563,27,32
1624346284,73,3
1624347005,51,54
1624347723,33,13
1624348827,42,86
1624349944,38,1
1624350608,19,69
1624352047,43,25
1624353484,25,39
1624354564,42,92
1624355285,35,1
1624357084,60,38
1624357806,21,34
1624358526,28,11
1624360324,47,43
1624361045,20,3
1624361765,26,85
1624362490,24,1
1624364288,48,52
1624365007,19,36
1624366084,28,19
1624366813,30,42
1624367524,17,1
1624368608,40,86
1624369324,25,11
1624371124,52,49
1624371485,14,1
1624372207,20,44
1624372924,26,18
1624373644,18,3
1624375806,54,100
1624376525,19,9
1624377615,20,31
1624377964,10,3
1624378684,11,2
1624379764,23,56
1624380906,29,9
1624381923,27,5798
1624382643,5786,1
1624383725,36,53
1624385528,59,31
1624386247,40,0
1624388045,70,64
1624389123,28,60
1624389844,17,4
1624390928,16,84
1624392728,65,55
1624393445,19,2
1624394885,40,77
1624396324,39,47
1624397043,21,2
1624397763,22,42
1624398129,7,1
1624399213,31,63
1624399924,23,4
1624400647,16,2
1624401011,12,49
1624401724,22,20
1624403523,54,36
1624403885,6,0
1624404963,23,55
1624405323,8,0
1624407125,41,54
1624408265,32,49
1624408925,23,13
1624409644,13,2
1624411444,52,35
1624412524,34,52
1624414324,53,41
1624416125,63,74
1624417926,39,51
1624419064,46,72
1624419725,15,19
1624420443,23,2
1624422244,60,51
1624422965,29,93
1624423325,15,8
1624424044,28,12
1624424765,27,39
1624426564,72,65
1624428364,65,59
1624429806,49,109
1624430524,35,33
1624431243,27,3
1624433043,65,66
1624433764,29,90
1624434125,13,1
1624436286,74,47
1624438085,64,76
1624439165,26,38
1624439524,11,4
1624440664,74,75
1624441924,31,27
1624443125,53,70
1624443844,32,2
1624444567,30,59
1624444923,11,7
1624445644,17,6
1624446364,21,38
1624447084,17,5
1624448524,36,67
1624450324,45,63
1624450685,7,0
1624451406,27,39
1624451765,8,16
1624453934,46,40
1624454651,22,2
1624455725,44,58
1624456085,12,2
1624457225,33,26
1624457883,11,0
1624458244,11,1
1624460044,49,60
1624461124,29,4868
1624462563,4832,61
1624463645,39,21
1624465084,35,48
1624466164,39,78
1624467248,16,4
1624469047,58,44
1624469406,10,47
1624470124,17,21
1624470850,21,3
1624471563,23,35
1624472285,19,3
1624473363,22,54
1624474085,24,1
1624474445,8,1
1624475164,27,47
1624475884,17,0
1624477325,32,69
1624479124,52,31
1624480207,25,80
1624480925,11,8
1624482724,42,33
1624483444,17,0
1624484884,28,48
1624486685,29,38
1624487411,10,86
1624488606,42,14
1624489563,24,45
1624491724,40,89
1624492445,29,1
1624494707,61,76
1624495325,14,8
1624497125,40,71
1624497845,20,4
1624499645,40,80
1624501085,30,53
1624501806,14,107
1624502164,15,22
1624502886,23,2
1624504684,49,74
1624505411,23,71
1624506124,22,29
1624508285,68,66
1624509007,14,46
1624509724,14,15
1624510445,24,3
1624511164,19,59
1624511525,13,2
1624512663,29,53
1624513324,16,21
1624514044,20,3
1624515484,85,35
1624515844,9,2
1624516564,20,143
1624517286,27,0
1624518724,41,64
1624520525,55,86
1624521246,23,2
1624523408,70,94
1624524123,19,11
1624524843,23,0
1624525925,26,59
1624526643,25,1
1624527364,23,80
1624528084,28,11
1624529164,37,31
1624530963,54,76
1624533124,60,41
1624534206,39,65
1624534564,14,12
1624535704,51,5
1624536724,34,48
1624537444,23,0
1624537806,13,48
1624538524,20,16
1624539244,24,4
1624540383,29,47
1624541047,18,1
1624541407,6,45
1624542484,25,16
1624544285,54,35
1624545005,24,48
