DateTime,AddedIPs,RemovedIPs
1623775686,0,3
1623777486,2,1
1623778565,0,1
1623779287,1,0
1623781085,0,1
1623782525,0,1
1623783725,5,2
1623786845,5,0
1623787567,1,0
1623789733,0,3
1623793327,2,1
1623795488,2,1
1623796566,1,1
1623797646,0,1
1623798727,1,1
1623800166,0,1
1623803467,1,0
1623804127,2,0
1623804847,1,0
1623807010,0,1
1623812045,2,2
1623813128,1,1
1623814214,1,1
1623814927,1,0
1623817087,1,1
1623817813,0,1
1623818528,1,0
1623819246,1,0
1623819966,1,2
1623820686,1,0
1623821409,0,2
1623822486,1,0
1623823567,0,2
1623824646,1,0
1623825008,0,1
1623826086,1,0
1623831486,1,6
1623832567,1,3
1623834726,2,0
1623835808,0,4
1623837965,0,2
1623839045,1,0
1623839766,0,1
1623840965,1,0
1623841929,0,1
1623935885,24,43
1623936609,1,3
1623938415,0,1
1623939847,1,0
1623941646,1,2
1623943086,2,1
1623944166,0,1
1623945966,2,0
1623947046,1,0
1623948129,92,0
1623948849,56,0
1623950286,9,0
1623952816,0,4
1623953526,2,0
1623954612,0,2
1623954966,0,1
1623959647,1,0
1623962526,2,2
1623971168,0,1
1623972248,1,0
1623972968,1,2
1623974767,0,2
1623975486,1,0
1623976928,1,0
1623981247,1,0
1623983413,1,1
1623984126,1,0
1623987010,0,2
1623989886,1,0
1623991686,0,1
1623994210,1,1
1623996016,0,1
1624000688,1,3
1624001409,0,1
1624003626,2,0
1624004649,1,0
1624006086,2,0
1624007526,1,0
1624008609,0,1
1624009687,1,0
1624010766,0,1
1624012209,0,1
1624013648,2,0
1624014366,2,0
1624015086,1,0
1624018326,1,0
1624019770,1,1
1624021218,0,3
1624023010,1,0
1624025167,0,1
1624026967,1,1
1624033087,1,0
1624034887,0,1
1624036687,1,1
1624040653,2,0
1624043526,1,1
1624045686,0,1
1624047487,2,0
1624052528,1,0
1624056128,2,0
1624057567,2,1
1624058649,5,0
1624059729,1,0
1624061528,2,1
1624065488,1,1
1624067288,0,1
1624068368,1,1
1624069810,0,1
1624073050,1,0
1624075568,0,1
1624076648,1,0
1624077727,0,3
1624080968,0,1
1624082046,2,0
1624082768,0,2
1624085646,1,0
1624087810,0,1
1624093927,1,0
1624095010,0,1
1624097166,1,0
1624104727,2,0
1624105447,1,0
1624106168,0,1
1624108689,1,1
1624113367,1,1
1624114085,1,0
1624117686,2,3
1624118767,0,101
1624120208,0,45
1624122015,0,2
1624124167,0,1
1624127413,2,1
1624131369,0,1
1624133888,2,0
1624136769,0,3
1624138567,1,0
1624139286,1,0
1624145408,2,1
1624150089,0,1
1624151167,2,0
1624151527,1,0
1624154768,0,2
1624155127,1,0
1624156211,0,1
1624158729,2,2
1624159868,0,1
1624163766,1,1
1624165569,1,1
1624167367,2,1
1624169888,0,1
1624171327,0,1
1624172047,2,0
1624174209,0,1
1624178166,0,1
1624179968,1,0
1624180688,1,0
1624184287,0,1
1624185727,1,0
1624187527,0,1
1624189328,0,1
1624190046,1,0
1624192209,0,3
1624194368,0,1
1624199767,0,1
1624201570,0,1
1624203010,1,1
1624205165,1,1
1624206609,0,2
1624208046,1,0
1624209847,1,1
1624210571,1,3
1624213813,0,1
1624216690,0,2
1624217048,1,0
1624218128,0,2
1624224246,0,2
1624224968,0,1
1624225686,1,0
1624226768,0,1
1624228568,0,2
1624230847,1,1
1624232526,1,2
1624234687,2,0
1624235767,2,2
1624237567,0,1
1624238289,1,0
1624239010,0,1
1624239728,2,0
1624241545,1,1
1624242968,0,1
1624244766,0,1
1624246213,0,4
1624249447,3,1
1624253409,1,2
1624255217,1,1
1624255927,1,0
1624257009,1,0
1624259166,0,1
1624261027,0,1
1624269247,0,1
1624270326,1,1
1624271047,1,0
1624271767,1,1
1624272486,1,0
1624273566,0,1
1624275011,0,1
1624275727,0,1
1624277185,0,1
1624277886,2,0
1624281857,2,0
1624283646,0,1
1624285086,1,0
1624287966,0,1
1624289767,1,1
1624292286,1,0
1624293009,0,2
1624295167,2,1
1624296608,0,3
1624299007,0,1
1624300927,1,0
1624302726,1,0
1624304887,1,0
1624307411,1,0
1624309926,1,0
1624310647,1,0
1624312447,0,2
1624313165,1,2
1624314612,1,3
1624317125,2,1
1624318566,1,1
1624321809,0,1
1624323965,2,1
1624327327,2,1
1624327928,1,0
1624328648,1,0
1624329728,1,0
1624331889,0,2
1624335487,0,1
1624336210,0,2
1624336928,0,1
1624340168,0,1
1624343767,3,0
1624344486,1,0
1624345566,1,0
1624347008,1,3
1624347726,2,0
1624348830,0,1
1624350610,0,1
1624352049,0,1
1624353486,2,0
1624354568,0,1
1624357087,0,1
1624357809,0,1
1624360327,2,0
1624361768,0,1
1624362493,1,0
1624364290,0,1
1624366818,0,1
1624368612,1,1
1624372211,1,0
1624372926,0,1
1624373647,1,0
1624375809,0,1
1624377619,1,0
1624378686,1,0
1624379766,0,3
1624380909,2,1
1624383728,0,1
1624385531,0,2
1624386250,1,0
1624389126,0,2
1624390930,0,1
1624393447,1,0
1624394887,1,1
1624396327,1,1
1624397766,0,3
1624399221,0,1
1624399926,1,0
1624401015,1,1
1624401727,2,0
1624404966,1,2
1624407127,1,0
1624408928,1,0
1624412527,0,1
1624414327,1,0
1624419728,1,0
1624426566,0,2
1624428367,2,2
1624430167,2,4
1624430888,0,1
1624433046,1,0
1624436290,1,0
1624440667,0,4
1624443066,0,1
1624444569,0,2
1624447809,0,1
1624450327,2,3
1624451409,2,1
1624455728,1,2
1624457228,1,0
1624460046,1,0
1624462268,0,1
1624463647,2,0
1624465087,0,1
1624466167,0,1
1624469050,5,1
1624469408,4,0
1624475887,1,0
1624477328,0,2
1624479127,0,1
1624480210,0,2
1624482727,1,1
1624483446,1,0
1624484887,1,3
1624486689,2,1
1624487415,0,2
1624488608,1,0
1624489566,0,2
1624491368,0,2
1624494710,0,2
1624499649,3,1
1624501809,0,2
1624502889,1,0
1624505415,2,0
1624506127,0,1
1624508288,2,3
1624509012,0,1
1624509728,2,0
1624511528,3,0
1624512666,0,1
1624514767,1,0
1624516567,0,3
1624518727,0,1
1624520527,0,1
1624523412,0,1
1624525928,0,2
1624527366,0,1
1624530966,0,1
1624533487,1,3
1624534566,0,1
1624536366,0,2
1624537809,0,2
1624538527,1,0
1624540386,2,1
1624541410,3,0
1624542487,2,1
1624544287,0,1
1624545008,1,1
1624546449,1,0
1624549689,1,1
1624551126,1,2
1624554367,0,2
1624555087,1,0
1624555446,1,0
1624556529,1,1
1624559409,0,1
1624560128,1,0
1624562647,1,1
1624565166,1,0
1624566968,1,4
1624569127,1,0
1624570927,1,1
1624574166,0,2
1624576328,0,1
1624577466,1,2
1624579217,1,1
1624581011,2,0
1624583886,1,1
1624585327,1,0
1624586046,1,0
1624586766,0,2
1624587488,1,0
1624588568,1,2
1624589699,1,0
1624590847,0,1
1624591813,0,3
1624593726,2,2
1624594866,1,0
1624595972,1,1
1624599009,0,1
1624600087,1,0
1624602246,3,0
1624602967,4,4
1624603687,1,0
1624606565,3,2
1624606926,3,1
1624608730,0,1
1624609448,3,0
1624611246,1,1
1624611968,0,1
1624613047,1,0
1624613767,0,2
1624615925,0,3
1624620611,0,1
1624621328,1,0
1624622765,0,1
1624624926,1,0
1624625647,2,0
1624626367,1,1
1624627866,0,1
1624630325,0,1
1624632127,0,2
1624635847,0,1
1624636819,0,3
1624638609,0,3
1624639686,0,2
1624641486,0,3
1624642207,0,1
1624644368,1,0
1624645088,1,0
1624646168,2,0
1624648326,3,0
1624650139,0,1
1624650855,1,0
1624654087,0,2
1624655167,1,1
1624656609,0,2
1624659852,0,1
1624660567,1,1
1624662126,0,1
1624665248,1,1
1624665968,1,0
1624667767,0,3
1624668907,1,0
1624670287,0,1
1624671367,1,1
1624672827,0,2
1624674609,1,2
1624678927,0,2
1624684687,0,2
1624685408,0,3
1624687566,0,2
1624689368,1,1
1624691167,1,1
1624692610,1,1
1624694046,0,2
1624695487,2,2
1624696212,2,2
1624696569,0,1
1624698726,4,0
1624701967,2,1
1624703408,0,3
1624704128,0,1
1624705567,0,2
1624711688,0,2
1624713127,1,0
1624714210,0,1
1624717087,1,0
1624718886,0,1
1624720685,1,1
1624721766,0,2
1624723567,1,2
1624725008,1,0
1624726446,1,0
1624727526,0,1
1624728610,2,0
1624729687,2,0
1624730417,0,2
1624735446,1,3
1624736166,0,1
1624743365,2,1
1624745167,0,1
1624745888,2,0
1624747688,0,1
1624749127,1,2
1624750925,1,5
1624751647,1,0
1624753446,0,2
1624754167,1,0
1624755246,1,0
1624756328,0,3
1624757766,1,0
1624760286,0,2
1624762145,0,1
1624764250,1,0
1624764967,0,1
1624766767,1,2
1624767127,1,0
1624769647,0,7
1624771498,3,1
1624771808,1,1
1624773247,1,0
1624775047,0,1
1624776486,0,3
1624778285,0,1
1624779009,2,0
1624779367,1,0
1624780447,1,0
1624781886,0,2
1624783686,1,3
1624784046,1,0
1624785126,0,2
1624786209,1,0
1624786930,1,1
1624789089,1,0
