DateTime,Entries,UniqueIPs
1623776424,1572,1608
1623778575,1543,1580
1623780503,1581,1619
1623782414,1589,1625
1623784342,1583,1621
1623786250,1565,1604
1623788487,1572,1608
1623790331,1572,1607
1623792247,1576,1611
1623794461,1573,1607
1623796325,1580,1611
1623798273,1579,1613
1623800411,1594,1629
1623802571,1585,1622
1623804491,1580,1616
1623810503,1546,1581
1623812420,1543,1580
1623814342,1544,1579
1623816252,1533,1564
1623818428,1529,1560
1623820332,1535,1565
1623822263,1548,1578
1623824428,1539,1570
1623826330,1530,1562
1623828247,1538,1571
1623830503,1547,1580
1623832329,1556,1589
1623836410,1532,1567
1623838346,1531,1565
1623840249,1522,1556
1623842186,1517,1554
1623844086,1507,1545
1623846020,1512,1551
1623847928,1511,1551
1623849846,1516,1557
1623851781,1521,1560
1623853689,1521,1560
1623855630,1524,1566
1623857527,1529,1571
1623859697,1526,1568
1623861620,1518,1560
1623863528,1517,1559
1623865462,1520,1564
1623867368,1503,1547
1623869301,1500,1542
1623871451,1502,1542
1623873366,1508,1545
1623875300,1502,1540
1623877218,1512,1550
1623879141,1507,1544
1623881052,1506,1544
1623882981,1498,1536
1623884894,1490,1526
1623886820,1472,1508
1623888729,1497,1533
1623890647,1502,1539
1623892581,1498,1539
1623894484,1520,1561
1623896425,1544,1585
1623898329,1552,1592
1623900262,1550,1591
1623902168,1564,1605
1623904107,1559,1600
1623906083,1558,1599
1623907947,1561,1602
1623909856,1551,1591
1623911785,1552,1593
1623913697,1550,1588
1623915622,1538,1576
1623917547,1530,1565
1623919449,1515,1550
1623921381,1547,1582
1623925449,1520,1552
1623927383,1527,1559
1623929303,1533,1567
1623933372,1498,1530
1623935303,1487,1520
1623937453,1477,1510
1623939382,1473,1508
1623941285,1491,1525
1623943222,1479,1512
1623945368,1490,1523
1623947299,1487,1517
1623949229,1479,1512
1623951381,1477,1510
1623953543,1477,1509
1623955693,1475,1511
1623957864,1451,1486
1623959772,1468,1502
1623961702,1467,1502
1623963623,1458,1495
1623965786,1452,1488
1623967945,1468,1501
1623969977,1481,1513
1623972007,1484,1515
1623973948,1492,1522
1623975848,1500,1530
1623978040,1504,1535
1623979946,1511,1538
1623981875,1518,1544
1623983768,1513,1540
1623985948,1516,1542
1623987849,1508,1535
1623990026,1515,1543
1623991930,1506,1537
1623993864,1515,1545
1623995766,1504,1536
1623997949,1510,1541
1623999856,1519,1548
1624001789,1529,1560
1624003689,1540,1573
1624005625,1550,1580
1624007562,1557,1587
1624009459,1560,1591
1624011382,1600,1632
1624013533,1605,1637
1624015449,1610,1643
1624017703,1611,1643
1624021943,1603,1636
1624023846,1629,1662
1624026021,1614,1649
1624027930,1611,1646
1624029847,1609,1648
1624031779,1608,1648
1624033931,1606,1648
1624035868,1605,1647
1624037768,1627,1671
1624039946,1598,1641
1624041848,1629,1672
1624043778,1635,1675
1624045687,1632,1674
1624047623,1613,1654
1624049530,1609,1648
1624051449,1605,1644
1624053383,1609,1647
1624055288,1593,1633
1624057219,1599,1639
1624059126,1608,1648
1624061300,1613,1654
1624063221,1616,1656
1624065133,1609,1649
1624067059,1620,1657
1624071370,1578,1615
1624073299,1573,1610
1624075227,1580,1616
1624077139,1576,1614
1624079059,1554,1597
1624080981,1552,1595
1624082890,1551,1593
1624084806,1539,1581
1624086984,1530,1571
1624088886,1534,1572
1624090819,1514,1554
1624092730,1496,1540
1624094677,1489,1537
1624096568,1498,1547
1624098500,1501,1547
1624100413,1500,1545
1624102328,1504,1549
1624104513,1506,1552
1624106412,1535,1585
1624108568,1528,1579
1624110741,1538,1589
1624112652,1541,1591
1624114579,1534,1583
1624116732,1541,1590
1624118671,1538,1586
1624120571,1538,1586
1624122501,1538,1583
1624124428,1542,1589
1624126325,1564,1613
1624128261,1540,1590
1624130165,1571,1621
1624132329,1540,1586
1624134247,1543,1588
1624136176,1556,1600
1624138084,1557,1601
1624140018,1546,1587
1624141942,1556,1596
1624143853,1550,1590
1624145777,1561,1603
1624147697,1579,1621
1624149618,1572,1614
1624151770,1540,1580
1624153701,1541,1581
1624155607,1570,1611
1624157530,1593,1634
1624159460,1581,1622
1624161368,1560,1601
1624163533,1555,1597
1624165702,1536,1579
1624167622,1535,1577
1624169532,1537,1577
1624171448,1563,1603
1624173382,1597,1637
1624175288,1569,1608
1624177210,1604,1643
1624179143,1581,1617
1624181050,1612,1649
1624182966,1615,1647
1624184903,1580,1615
1624186817,1578,1614
1624188729,1570,1608
1624190667,1596,1634
1624192571,1589,1626
1624194488,1588,1621
1624196424,1589,1619
1624198330,1576,1609
1624200263,1573,1606
1624202169,1573,1607
1624204335,1559,1592
1624206261,1557,1587
1624208172,1559,1591
1624210331,1560,1594
1624212502,1551,1585
1624214420,1550,1585
1624216331,1551,1588
1624218247,1544,1581
1624220181,1546,1581
1624222084,1534,1570
1624224006,1523,1558
1624225942,1516,1552
1624227845,1530,1568
1624229763,1527,1567
1624233618,1507,1545
1624235536,1500,1542
1624237452,1479,1526
1624239379,1491,1540
1624241300,1482,1532
1624245606,1470,1518
1624247524,1480,1530
1624249457,1476,1525
1624251366,1484,1534
1624253301,1501,1550
1624255229,1501,1549
1624257124,1509,1557
1624259065,1495,1542
1624260969,1495,1542
1624262899,1492,1537
1624264806,1502,1547
1624266971,1506,1552
1624268914,1502,1549
1624270804,1504,1552
1624272729,1501,1548
1624274659,1503,1548
1624276567,1513,1558
1624278484,1513,1557
1624280424,1528,1571
1624284257,1500,1542
1624286178,1500,1543
1624288085,1501,1544
1624290008,1504,1545
1624291942,1529,1568
1624293848,1535,1577
1624295770,1530,1569
1624297698,1539,1578
1624299607,1524,1562
1624301524,1513,1553
1624303458,1501,1541
1624305367,1509,1549
1624307300,1500,1544
1624309217,1507,1550
1624311126,1506,1547
1624313069,1487,1530
1624314970,1467,1509
1624317130,1473,1518
1624319070,1506,1552
1624321207,1513,1557
1624323128,1524,1564
1624325059,1508,1546
1624326967,1510,1549
1624328900,1498,1537
1624330819,1517,1557
1624332725,1501,1542
1624334666,1486,1527
1624336569,1503,1541
1624338727,1511,1550
1624340646,1507,1545
1624342576,1502,1539
1624344486,1502,1541
1624346406,1501,1540
1624348336,1507,1546
1624350246,1508,1546
1624352165,1501,1536
1624354094,1504,1539
1624356274,1508,1544
1624358179,1504,1540
1624360086,1499,1534
1624362007,1472,1507
1624363938,1453,1487
1624365845,1437,1472
1624367769,1433,1468
1624369699,1453,1492
1624371614,1444,1483
1624373528,1447,1486
1624375461,1441,1482
1624377370,1440,1480
1624379296,1424,1464
1624381218,1416,1456
1624383126,1412,1450
1624385066,1403,1441
1624386967,1415,1454
1624389132,1410,1449
1624391058,1415,1454
1624392967,1415,1454
1624395126,1412,1451
1624397047,1412,1453
1624398976,1410,1451
1624400887,1430,1468
1624402828,1428,1465
1624404740,1431,1466
1624406654,1410,1446
1624408579,1409,1447
1624410485,1400,1437
1624412648,1406,1445
1624414570,1415,1452
1624416496,1430,1467
1624418406,1431,1469
1624420324,1446,1490
1624422257,1456,1505
1624424165,1455,1506
1624426095,1461,1513
1624428014,1461,1513
1624431855,1445,1494
1624433778,1440,1488
1624435686,1427,1475
1624437606,1415,1465
1624439537,1410,1461
1624441446,1431,1482
1624443395,1423,1473
1624445286,1411,1466
1624447205,1412,1465
1624449137,1425,1478
1624451050,1440,1494
1624452967,1446,1503
1624454902,1449,1503
1624458731,1434,1485
1624460674,1430,1479
1624462569,1434,1483
1624464731,1439,1491
1624466662,1438,1491
1624468566,1430,1484
1624470489,1441,1495
1624472418,1439,1490
1624474334,1439,1490
1624476261,1447,1497
1624478168,1445,1496
1624482255,1413,1463
1624484422,1410,1461
1624486327,1412,1459
1624488258,1398,1445
1624490408,1387,1433
1624492331,1402,1450
1624494259,1409,1455
1624496168,1416,1463
1624498100,1400,1447
1624500023,1389,1436
1624501925,1388,1433
1624503869,1388,1433
1624505770,1380,1425
1624507931,1374,1415
1624509861,1354,1394
1624512022,1340,1383
1624513925,1342,1387
1624515847,1340,1383
1624517766,1370,1416
1624519689,1373,1420
1624521862,1375,1423
1624523781,1383,1431
1624525702,1384,1431
1624527622,1372,1419
1624529536,1353,1403
1624531450,1369,1420
1624533382,1375,1426
1624535529,1370,1420
1624537449,1366,1416
1624539377,1326,1373
1624541286,1345,1395
1624543227,1346,1396
1624545140,1351,1402
1624547053,1365,1417
1624548979,1330,1380
1624550886,1357,1407
1624552805,1348,1394
1624554742,1351,1394
1624556654,1357,1398
1624558576,1355,1396
1624560489,1356,1396
1624562405,1352,1393
1624564345,1365,1409
1624566247,1363,1409
1624568168,1391,1440
1624570097,1386,1438
1624572032,1386,1439
1624575860,1372,1422
1624577780,1369,1418
1624579691,1356,1408
1624581606,1348,1400
1624583541,1345,1395
1624585447,1343,1396
1624587379,1349,1402
1624589287,1347,1398
1624591210,1345,1398
1624593139,1353,1406
1624595049,1356,1408
1624596979,1362,1414
1624598888,1371,1424
1624600823,1372,1422
1624602740,1376,1428
1624604653,1371,1427
1624606585,1370,1423
1624608495,1368,1419
1624610422,1374,1422
1624612334,1376,1425
1624614262,1394,1446
1624616165,1404,1453
1624618333,1406,1455
1624620259,1427,1477
1624622171,1426,1475
1624624329,1432,1482
1624626253,1446,1497
1624628169,1450,1500
1624630331,1453,1503
1624632261,1463,1514
1624634164,1477,1534
1624636328,1485,1542
1624638247,1480,1536
1624640176,1498,1555
1624642084,1521,1577
1624644010,1538,1593
1624645939,1549,1603
1624647854,1551,1605
1624649767,1561,1616
1624651697,1557,1609
1624653606,1563,1611
1624657460,1553,1601
1624659619,1555,1600
1624661529,1593,1641
1624663445,1597,1644
1624667285,1586,1627
1624669222,1597,1637
1624671141,1602,1644
1624673063,1599,1641
1624674968,1584,1632
1624677143,1574,1623
1624679051,1569,1615
1624680976,1579,1624
1624682886,1577,1623
1624684820,1577,1623
1624686729,1560,1607
1624688659,1557,1606
1624690567,1543,1590
1624692497,1534,1580
1624694421,1518,1565
1624696326,1517,1564
1624698268,1518,1564
1624700169,1516,1562
1624702330,1498,1544
1624704248,1493,1539
1624706177,1486,1533
1624708086,1466,1513
1624710008,1460,1507
1624711941,1468,1513
1624713848,1460,1506
1624715769,1457,1504
1624717700,1457,1504
1624719621,1468,1513
1624721526,1451,1495
1624723466,1443,1488
1624725374,1444,1488
1624727301,1432,1476
1624729207,1433,1477
1624733531,1395,1441
1624735448,1390,1433
1624737378,1396,1439
1624739286,1388,1431
1624741220,1384,1428
1624743140,1419,1464
1624745054,1427,1474
1624746968,1431,1478
1624748902,1422,1468
1624750807,1411,1463
1624752730,1457,1509
1624754661,1460,1514
1624756570,1445,1498
1624758729,1453,1502
1624760648,1461,1509
1624762578,1471,1521
1624764488,1482,1535
1624766423,1479,1533
1624768338,1477,1530
1624770256,1474,1525
1624772169,1460,1511
1624774344,1458,1508
1624776251,1461,1508
1624778177,1463,1511
