DateTime,AddedIPs,RemovedIPs
1623776424,24,0
1623778575,23,19
1623780503,20,12
1623782414,24,14
1623784342,14,25
1623786250,17,12
1623788487,21,24
1623790331,21,12
1623792247,18,21
1623794461,18,19
1623796325,20,23
1623798273,17,21
1623800411,18,7
1623802571,11,12
1623804491,15,15
1623810503,13,53
1623812420,7,0
1623814342,15,22
1623816252,10,0
1623818428,13,21
1623820332,17,21
1623822263,24,46
1623824428,14,21
1623826330,23,0
1623828247,18,23
1623830503,24,43
1623832329,27,0
1623836410,17,35
1623838346,13,21
1623840249,14,18
1623842186,14,30
1623844086,27,26
1623846020,19,22
1623847928,14,29
1623849846,26,24
1623851781,14,23
1623853689,9,18
1623855630,14,17
1623857527,17,22
1623859697,20,15
1623861620,22,16
1623863528,22,16
1623865462,15,17
1623867368,15,17
1623869301,18,22
1623871451,18,22
1623873366,15,19
1623875300,22,14
1623877218,18,13
1623879141,21,22
1623881052,16,8
1623882981,13,8
1623884894,13,18
1623886820,8,13
1623888729,15,0
1623890647,14,13
1623892581,11,0
1623894484,17,11
1623896425,11,9
1623898329,16,10
1623900262,15,15
1623902168,12,11
1623904107,15,16
1623906083,16,13
1623907947,26,10
1623909856,13,9
1623911785,25,19
1623913697,17,24
1623915622,14,16
1623917547,19,7
1623919449,16,10
1623921381,21,25
1623925449,21,35
1623927383,21,19
1623929303,19,20
1623933372,19,31
1623935303,9,18
1623937453,13,19
1623939382,13,25
1623941285,28,25
1623943222,16,15
1623945368,22,27
1623947299,21,17
1623949229,19,22
1623951381,18,21
1623953543,14,19
1623955693,17,20
1623957864,12,16
1623959772,36,14
1623961702,17,15
1623963623,21,15
1623965786,14,24
1623967945,30,18
1623969977,25,22
1623972007,19,19
1623973948,9,23
1623975848,20,12
1623978040,11,13
1623979946,20,9
1623981875,19,16
1623983768,15,8
1623985948,19,16
1623987849,14,15
1623990026,22,19
1623991930,12,21
1623993864,20,16
1623995766,22,23
1623997949,28,27
1623999856,20,23
1624001789,23,15
1624003689,19,14
1624005625,21,13
1624007562,23,19
1624009459,24,11
1624011382,19,28
1624013533,23,15
1624015449,24,0
1624017703,17,45
1624021943,22,34
1624023846,19,7
1624026021,21,0
1624027930,20,20
1624029847,14,19
1624031779,24,16
1624033931,15,23
1624035868,19,19
1624037768,18,25
1624039946,7,24
1624041848,20,0
1624043778,22,22
1624045687,12,20
1624047623,18,17
1624049530,22,14
1624051449,22,14
1624053383,19,14
1624055288,17,29
1624057219,17,10
1624059126,21,10
1624061300,25,12
1624063221,18,18
1624065133,19,8
1624067059,21,10
1624071370,15,22
1624073299,22,14
1624075227,18,3
1624077139,21,15
1624079059,10,9
1624080981,18,16
1624082890,14,8
1624084806,12,17
1624086984,14,20
1624088886,16,14
1624090819,22,6
1624092730,10,8
1624094677,19,17
1624096568,27,9
1624098500,19,21
1624100413,26,14
1624102328,22,11
1624104513,27,12
1624106412,16,0
1624108568,20,12
1624110741,24,22
1624112652,24,20
1624114579,15,15
1624116732,21,22
