DateTime,AddedIPs,RemovedIPs
1617404396,23,14
1618013989,1249,786
1618035981,49,32
1618047021,19,26
1618058031,25,11
1618068965,16,19
1618079936,21,21
1618090998,13,19
1618112760,23,44
1618145488,46,86
1618156470,17,21
1618189430,58,56
1618255605,116,128
1618266699,26,27
1618288686,42,39
1618310587,43,43
1618332699,55,37
1618365711,62,86
1618376628,15,22
1618387584,19,30
1618409744,36,56
1618420711,24,32
1618431795,17,27
1618453811,44,80
1618464889,31,31
1618475905,21,40
1618487028,24,25
1618509082,37,51
1618520063,27,37
1618542229,29,45
1618553244,20,28
1618564247,23,35
1618575291,16,28
1618586281,22,30
1618597080,15,27
1618607987,14,27
1618619012,19,34
1618630077,14,47
1618641114,10,36
1618652160,21,23
1618663197,12,27
1618674143,21,35
1618685258,25,43
1618696295,23,27
1618707043,22,20
1618718073,16,21
1618729169,15,38
1618740189,8,37
1618751212,16,30
1618762188,23,21
1618773032,10,34
1618784301,13,21
1618795455,16,30
1618806689,15,31
1618817758,20,29
1618828793,28,31
1618839781,26,23
1618851062,15,21
1618862022,6,24
1618872963,15,23
1618883979,15,22
1618895032,19,25
1618906095,8,35
1618917077,18,29
1618928151,14,19
1618939203,11,16
1618950237,14,26
1618961233,20,33
1618972312,13,28
1618983360,20,37
1618994301,17,25
1619005458,13,33
1619016311,17,25
1619027223,15,18
1619038289,18,23
1619049336,16,24
1619060309,27,26
1619071689,19,26
1619082479,15,36
1619093404,20,20
1619104315,11,22
1619115341,17,11
1619126392,15,25
1619137433,16,15
1619148467,18,31
1619159484,20,26
1619170549,28,33
1619181578,15,22
1619192633,19,16
1619203875,15,27
1619214950,18,29
1619225876,15,26
1619236815,8,27
1619247830,12,29
1619258875,13,21
1619269914,5,17
1619280957,14,24
1619291989,16,16
1619303003,18,22
1619314042,10,20
1619325065,19,15
1619336065,16,20
1619347111,18,21
1619358152,14,20
1619369125,13,20
1619380035,15,24
1619391104,24,20
1619402072,10,20
1619413120,17,30
1619424215,25,23
1619435294,17,15
1619446319,19,26
1619457358,20,24
1619468264,15,15
1619479212,10,18
1619490159,18,16
1619501488,17,13
1619512535,18,10
1619523848,24,21
1619534814,22,11
1619545901,17,20
1619556910,11,18
1619595737,1,87
1619606874,23,29
1619617912,11,15
1619628767,12,25
1619639670,7,26
1619650704,8,19
1619661584,9,20
1619672628,20,21
1619683907,16,27
1619694752,14,16
1619705912,13,30
1619717038,12,19
1619728300,14,24
1619739332,13,29
1619750336,12,22
1619761449,15,30
1619772406,14,24
1619783509,14,19
1619794749,17,23
1619805857,17,28
1619817058,12,19
1619828126,15,23
1619839046,19,17
1619849829,11,26
1619860738,20,22
1619871835,17,14
1619882869,16,16
1619893726,10,23
1619904540,11,28
1619915387,14,15
1619926319,16,25
1619937282,12,28
1619948333,20,31
1619959444,25,34
1619970459,13,23
1619981504,10,19
1619992538,7,29
1620003793,18,16
1620014887,23,18
1620025923,11,21
1620036935,15,22
1620047994,11,18
1620058954,14,21
1620070018,20,21
1620081324,21,16
1620092376,12,18
1620103445,15,19
1620114668,19,25
1620125685,29,14
1620136772,12,15
1620147837,18,14
1620158829,15,18
1620169919,13,21
1620181184,16,24
1620192219,23,21
1620203285,29,29
1620214236,21,18
1620225341,18,16
1620236314,20,19
1620247346,16,18
1620258450,15,19
1620269547,13,24
1620280877,19,22
1620291838,15,24
1620302830,11,21
1620313908,20,19
1620324854,10,26
1620335965,11,20
1620346922,14,20
1620357712,18,16
1620368601,13,25
1620379888,15,24
1620390960,8,15
1620401970,8,21
1620412989,19,14
1620424306,16,18
1620435512,12,20
1620446676,8,25
1620457684,25,26
1620468710,16,21
1620479711,9,21
1620490795,16,15
1620501722,21,15
1620512504,14,14
1620523431,18,14
1620534709,13,20
1620545782,13,19
1620556708,16,28
1620567724,15,21
1620578640,13,16
1620589522,11,14
1620600408,17,16
1620611529,15,14
1620622556,10,16
1620633596,14,19
1620644627,15,10
1620655641,12,17
1620666983,15,15
1620677942,18,21
1620688888,13,12
1620699825,24,14
1620711081,23,20
1620722164,19,19
1620733219,17,18
1620744150,12,8
1620755040,8,10
1620766017,8,11
1620777028,13,13
1620788165,16,12
1620799131,17,23
1620810213,13,17
1620821131,13,10
1620832346,9,18
1620843388,19,16
1620854346,20,18
1620865459,14,15
1620876672,15,18
1620887759,15,22
1621803239,960,1102
1621814135,12,15
1621853341,3,49
1621864235,13,8
1621875128,21,18
1621886019,24,19
1621897219,11,11
1621908110,8,18
1621918969,18,18
1621930120,13,15
1621941019,13,17
1621951921,17,13
1621962811,18,16
1621974006,11,14
1621984907,19,16
1621995814,18,14
1622006719,19,17
1622017618,18,25
1622028515,12,18
1622039413,15,13
1622050309,8,9
1622061213,11,10
1622072109,10,12
1622083016,12,19
1622093914,13,14
1622104818,14,17
1622115666,13,16
1622126516,13,12
1622137370,18,7
1622148224,14,7
1622159379,13,5
1622170282,14,0
1622181179,20,0
1622192087,23,9
1622202997,17,16
1622213890,26,7
1622224531,5,14
1622235432,14,14
1622246328,11,8
1622257227,13,14
1622268426,18,16
1622279330,12,13
1622305319,6,43
1622308953,6,0
1622312887,2,4
1622316518,3,5
1622320450,1,2
1622324080,6,2
1622334929,5,8
1622346138,10,13
1622357291,14,8
1622368138,10,17
1622379284,15,8
1622390431,11,12
1622401278,13,18
1622412126,11,12
1622422974,12,17
1622433829,17,10
1622445031,19,14
1622455928,17,15
1622467121,11,14
1622478017,12,17
1622488911,20,10
1622499802,21,18
1622510703,14,18
1622521907,7,15
1622532801,23,13
1622543998,21,23
1622554900,17,14
1622565798,14,11
1622576688,14,9
1622615751,8,56
1622626907,20,17
1622637751,24,13
1622648597,18,15
1622659440,21,17
1622670287,23,21
1622681131,14,9
1622692031,12,14
1622703229,15,15
1622714127,9,12
1622725019,7,14
1622735912,10,13
1622746801,19,17
1622757707,11,9
1622768598,11,13
1622779761,16,12
1622790609,9,12
1622801757,8,18
1622812785,6,11
1622823942,14,10
1622835094,13,18
1622874256,11,49
1622885404,12,18
1622896550,4,12
1622907398,8,17
1622918247,10,13
1622929020,14,21
1622940177,10,18
1622951328,13,19
1622962178,14,16
1622973033,5,15
1622983883,16,17
1622994749,20,12
1623005599,17,8
1623016452,20,14
1623027605,15,13
1623038461,14,7
1623049313,16,41
1623060176,18,24
1623071326,18,12
1623082481,13,15
1623093330,8,16
1623104177,12,16
1623115033,18,14
1623126181,15,12
1623137339,24,10
1623148499,23,15
1623159349,15,12
1623170192,19,15
1623181035,23,10
1623191886,21,10
1623202730,15,16
1623213876,13,20
1623225028,15,15
1623236182,14,15
1623247335,18,10
1623258188,12,21
1623269338,15,11
1623308152,8,49
1623319001,20,19
1623330158,14,17
1623341303,16,9
1623352457,10,13
1623363312,21,7
1623374462,22,14
1623385620,24,13
1623396465,23,14
1623407311,22,13
1623418155,19,16
1623429087,14,10
1623440238,10,16
1623451094,23,9
1623501585,20,45
1623512434,19,16
1623523282,15,13
1623534130,15,11
1623545279,24,16
1623556133,23,5
1623566982,12,23
1623578138,12,20
1623588987,14,12
1623599832,23,18
1623610682,19,14
1623621412,16,6
1623632266,10,15
1623643126,19,12
1623653977,16,10
1623664824,19,8
1623675672,11,8
1623686831,25,9
1623697980,22,9
1623709137,23,16
1623719998,16,16
1623730845,20,12
1623741693,21,11
1623752541,15,9
1623763406,15,9
1623774256,28,18
1623785413,17,19
1623796564,12,18
1623807415,16,23
1623818266,24,9
1623829114,28,16
1623839970,27,13
1623850819,19,10
1623861666,22,18
1623878378,11,21
1623889529,16,15
1623900683,20,13
1623911534,20,14
1623922382,18,22
1623933228,16,13
1623944377,24,22
1623955525,16,23
1623966381,13,15
1623977230,12,17
1623988079,14,13
1623998936,21,23
1624009793,14,9
1624020638,16,20
1624031488,18,12
1624042634,47,13
1624053789,17,12
1624064943,25,16
1624076096,11,9
1624087238,12,19
1624098087,15,16
1624108940,20,13
1624120094,16,12
1624130950,11,18
1624141799,19,12
1624152648,14,16
1624163494,17,12
1624174333,12,17
1624185187,21,21
1624196041,21,9
1624206885,19,19
1624217732,12,17
1624228587,24,14
1624239434,21,16
1624250291,26,15
1624261443,25,21
1624272290,17,24
1624283143,18,13
1624293988,18,7
1624305134,20,22
1624315985,15,18
1624326839,15,13
1624337685,18,15
1624348531,16,15
1624359378,17,11
1624370231,21,23
1624381072,17,13
1624391884,9,12
1624402727,19,7
1624413567,12,0
1624424712,17,0
1624435558,26,0
1624446707,14,11
1624457558,12,12
1624468407,14,27
1624479254,17,26
1624490407,9,7
1624501255,21,19
1624512106,15,13
1624534323,25,32
1624545478,13,15
1624556638,22,22
1624567491,8,23
1624578341,12,20
1624589187,18,17
1624600032,12,16
1624610875,22,19
1624621729,18,22
1624632576,21,19
1624643428,19,13
1624654283,15,9
1624665135,12,14
1624675981,9,17
1624686830,20,16
1624697980,15,24
1624708835,16,15
1624719690,22,22
1624730539,18,22
1624741693,9,18
1624752548,19,17
1624763400,13,8
1624774248,13,16
1624785110,15,19
