DateTime,AddedIPs,RemovedIPs
1622350825,1,5
1622354409,0,7
1622361606,1,0
1622365206,1,0
1622372435,0,1
1622379609,1,2
1622383212,1,0
1622404810,0,1
1622408409,1,1
1622415608,0,1
1622419230,0,2
1622422810,1,1
1622433634,3,1
1622437214,1,1
1622444408,0,1
1622448034,0,1
1622455230,1,2
1622462408,0,2
1622466027,0,2
1622469608,1,0
1622473234,0,1
1622476833,1,7
1622480410,1,5
1622487605,1,0
1622491209,1,1
1622494836,2,0
1622498406,0,1
1622502009,1,1
1622509231,1,4
1622512808,1,0
1622516429,3,0
1622520006,2,3
1622523627,1,0
1622530808,1,3
1622534434,1,0
1622538022,6,1
1622541631,5,2
1622548834,0,1
1622552409,1,1
1622556013,0,3
1622559625,1,0
1622563210,0,1
1622570410,0,13
1622574033,1,0
1622577625,1,2
1622581219,0,1
1622584813,0,1
1622588421,1,2
1622592011,1,0
1622595634,0,1
1622599210,1,0
1622602811,3,0
1622606417,1,0
1622617222,0,2
1622620834,1,0
1622628024,0,1
1622631606,1,0
1622635208,0,1
1622638813,0,1
1622642425,0,3
1622649636,1,0
1622656836,9,1
1622660415,4,0
1622664035,0,1
1622671234,1,0
1622674808,1,0
1622678406,1,1
1622682022,0,1
1622685613,2,1
1622689230,8,0
1622692827,2,0
1622718007,0,1
1622721606,0,6
1622725225,1,5
1622728837,1,17
1622732434,0,4
1622743236,0,1
1622746814,2,0
1622750411,2,0
1622754011,0,1
1622757614,1,0
1622761238,1,1
1622764838,0,1
1622768437,2,3
1622772035,0,1
1622775634,0,4
1622779207,2,1
1622782809,1,1
1622786435,3,1
1622790038,1,2
1622797209,0,1
1622800831,3,0
1622804425,1,0
1622811638,2,0
1622818836,1,0
1622822408,1,0
1622826035,0,2
1622829633,0,1
1622833235,0,1
1622836820,1,2
1622847606,1,2
1622854811,4,0
1622858433,0,2
1622862013,1,0
1622865610,2,0
1622869209,1,0
1622872836,1,2
1622876432,1,0
1622880034,1,1
1622887209,2,0
1622890810,0,2
1622894409,0,1
1622898011,2,1
1622912409,1,0
1622916035,2,2
1622919606,4,0
1622923232,4,2
1622926825,4,0
1622930411,3,0
1622941210,3,0
1622948435,1,0
1622952009,1,3
1622955635,0,1
1622962814,3,0
1622970035,1,0
1622973612,2,0
1622977231,0,1
1622980809,1,0
1622984435,0,1
1622988010,0,1
1623016835,1,0
1623038423,1,1
1623042036,1,1
1623045611,2,0
1623049236,0,3
1623056411,0,1
1623060011,1,1
1623063611,0,2
1623070807,10,1
1623074419,4,1
1623078012,3,0
1623081611,1,1
1623085206,1,1
1623092435,0,1
1623096011,0,1
1623099635,1,0
1623103210,1,1
1623106836,0,1
1623110436,0,1
1623114033,0,1
1623117610,2,0
1623124811,0,2
1623128411,1,1
1623135635,1,1
1623139236,0,1
1623142810,1,5
1623146437,0,6
1623153634,0,2
1623157236,2,0
1623160836,0,1
1623164437,2,0
1623168035,2,0
1623171611,1,0
1623175211,0,1
1623182411,1,2
1623186011,3,0
1623193235,1,1
1623196834,1,1
1623200435,1,1
1623204006,1,1
1623207610,2,2
1623211228,2,1
1623214835,1,0
1623222035,1,0
1623225608,2,0
1623229232,1,0
1623232811,4,0
1623236435,3,1
1623240011,4,0
1623243609,4,0
1623247235,2,0
1623250806,1,0
1623254410,1,1
1623258036,1,0
1623261610,0,5
1623265211,0,4
1623268823,2,1
1623279628,3,1
1623283206,0,1
1623286808,7,0
1623290410,11,0
1623294035,0,11
1623297636,2,2
1623308409,6,0
1623312035,2,0
1623315634,1,0
1623319232,4,0
1623322808,1,0
1623330035,5,1
1623333611,0,1
1623337235,1,0
1623351614,0,1
1623355235,1,1
1623358810,1,0
1623362415,2,1
1623366006,2,2
1623373237,5,1
1623376811,15,0
1623380435,1,0
1623384035,0,1
1623391236,3,1
1623394836,2,0
1623402036,1,0
1623405611,3,2
1623409212,0,1
1623412835,0,1
1623416412,3,1
1623420035,2,1
1623423636,1,1
1623427212,4,1
1623434410,0,2
1623441639,3,2
1623445236,1,0
1623448813,1,0
1623452409,0,1
1623456035,2,0
1623459636,1,2
1623463208,12,1
1623466810,0,1
1623470412,2,1
