DateTime,AddedIPs,RemovedIPs
1622984497,353,79
1622988098,299,72
1622991696,151,73
1622995275,146,71
1622998898,214,79
1623002498,161,82
1623006070,115,81
1623009669,112,51
1623013299,89,79
1623016898,160,55
1623020472,150,68
1623024069,120,76
1623027698,116,59
1623031268,123,64
1623034912,110,71
1623038503,83,72
1623042100,110,68
1623045691,106,72
1623049299,90,89
1623052871,95,75
1623056498,86,71
1623060072,89,87
1623063699,75,74
1623067271,95,64
1623070900,87,57
1623074498,73,83
1623078070,69,85
1623081673,88,63
1623085273,60,70
1623088870,76,87
1623092471,58,70
1623096071,62,73
1623099696,70,69
1623103272,73,58
1623106899,65,68
1623110472,66,78
1623114071,80,69
1623117670,59,80
1623121298,63,95
1623124873,84,59
1623128498,77,76
1623132073,62,65
1623135672,72,68
1623139300,84,81
1623142897,91,86
1623146494,77,71
1623150095,86,52
1623153672,83,58
1623157299,80,63
1623160898,62,71
1623164472,64,51
1623168112,79,78
1623171698,66,53
1623175297,74,69
1623178917,65,53
1623182514,74,78
1623186101,70,67
1623189718,66,66
1623193286,42,56
1623196896,53,60
1623200518,65,60
1623204090,88,55
1623207718,73,79
1623211322,79,63
1623214882,81,68
1623218492,79,75
1623222096,79,86
1623225669,99,94
1623229418,91,90
1623232890,80,69
1623236470,96,68
1623240115,72,50
1623243671,61,57
1623247274,76,62
1623250899,53,77
1623254470,56,77
1623258099,74,88
1623261700,76,54
1623265291,50,72
1623268874,49,70
1623272497,60,68
1623276096,53,62
1623279670,94,56
1623283298,73,63
1623286874,156,68
1623290472,60,52
1623294082,81,68
1623297671,93,55
1623301293,104,59
1623304896,86,66
1623308497,89,60
1623312097,57,64
1623315692,62,88
1623319315,65,81
1623322912,63,85
1623326472,93,75
1623330069,59,53
1623333672,87,69
1623337298,71,72
1623340899,62,63
1623344518,71,88
1623348113,53,62
1623351670,62,60
1623355270,77,62
1623358872,45,52
1623362501,58,65
1623366097,54,58
1623369708,49,67
1623373297,113,83
1623376871,66,104
1623380472,77,77
1623384070,96,62
1623387707,127,72
1623391297,82,69
1623394871,70,67
1623398499,73,93
1623402111,51,95
1623405697,68,67
1623409270,82,73
1623412896,67,74
1623416497,73,73
1623420071,83,68
1623423697,67,60
1623427273,62,54
1623430893,53,60
1623434530,48,55
1623438109,66,38
1623441720,52,70
1623445295,50,62
1623448919,45,55
1623452470,45,55
1623456075,59,57
1623459697,164,46
1623463297,70,78
1623466896,57,41
1623470498,107,56
1623474097,85,65
1623477701,45,55
1623481297,97,58
1623484915,69,61
1623488490,42,77
1623492099,57,94
1623495718,69,93
1623499312,55,114
1623502896,56,89
1623506472,78,117
1623510097,69,88
1623513672,64,60
1623517292,62,58
1623520871,69,61
1623524518,87,55
1623528098,83,50
1623531697,37,51
1623535316,57,66
1623538871,65,65
1623542477,54,48
1623546096,97,74
1623549700,65,50
1623553271,44,48
1623556872,58,63
1623560501,101,63
1623564071,48,67
1623567697,53,66
1623571297,47,76
1623574901,67,97
1623578471,52,102
1623582097,54,92
1623585670,44,77
1623589297,54,83
1623592869,52,93
1623596470,103,83
1623600072,278,77
1623603670,150,96
1623607298,131,73
1623610898,128,56
1623614471,102,67
1623618070,104,54
1623621696,93,80
1623625272,67,86
1623628898,79,150
1623632497,148,88
1623636097,77,73
1623639698,105,106
1623643271,90,94
1623646897,95,86
1623650470,109,78
1623654072,83,90
1623657671,96,88
1623661269,79,84
1623664898,87,96
1623668470,69,67
1623672097,71,90
1623675669,69,79
1623679271,74,66
1623682898,65,65
1623686497,78,69
1623690096,76,69
1623693700,132,72
1623697296,80,73
1623700872,59,56
1623704471,68,58
1623708070,69,77
1623711673,66,62
1623715270,52,57
1623718900,88,67
1623722501,59,62
1623726101,59,72
1623729698,69,119
1623733269,73,78
1623736869,83,72
1623740472,62,64
1623744100,77,81
1623747672,56,109
1623751271,70,87
1623754901,62,69
1623758473,74,79
1623762073,62,76
1623765671,77,67
1623769276,57,65
1623772875,52,68
1623776523,81,70
1623780120,74,75
1623783723,56,58
1623787274,72,67
1623790872,72,66
1623794499,65,59
1623798100,54,51
1623801672,56,52
1623805272,95,68
1623808899,53,103
1623812499,63,122
1623816100,74,76
1623819702,68,72
1623823298,71,72
1623826899,256,67
1623830473,111,97
1623834099,84,95
1623837701,64,83
1623841299,64,90
1623844898,69,65
1623848498,68,80
1623852074,94,77
1623855673,93,61
1623859300,75,53
1623862898,55,67
1623866501,73,58
1623870099,57,48
1623873693,56,47
1623877292,59,54
1623880901,67,58
1623884500,49,73
1623888099,52,94
1623891701,86,75
1623895301,75,49
1623898872,60,84
1623902476,69,76
1623906074,69,81
1623909700,74,74
1623913273,106,87
1623916899,92,63
1623920500,74,71
1623924099,71,65
1623927700,81,69
1623931301,70,88
1623934901,82,56
1623938500,73,82
1623942099,115,85
1623945701,75,66
1623949274,67,61
1623952899,51,44
1623956473,67,61
1623960073,64,62
1623963700,72,67
1623967303,48,56
1623970899,52,47
1623974476,54,43
1623978071,78,66
1623981699,63,51
1623985271,50,79
1623988874,63,74
1623992501,64,109
1623996098,69,75
1623999672,81,84
1624003299,100,66
1624006874,113,61
1624014347,217,174
1624017739,98,61
1624021301,90,67
1624024873,99,82
1624028500,78,61
1624032101,69,62
1624035699,72,58
1624039271,68,54
1624042898,59,71
1624046492,62,53
