DateTime,AddedIPs,RemovedIPs
1622984473,330,57
1622988099,287,62
1622991703,135,65
1622995309,132,50
1622998873,207,60
1623002499,150,55
1623006094,108,61
1623009710,108,39
1623013300,81,62
1623016899,145,43
1623020473,132,59
1623024099,104,58
1623027676,103,53
1623031299,107,53
1623034919,91,56
1623038496,68,59
1623042099,95,62
1623045720,88,65
1623049296,80,75
1623052893,79,61
1623056499,80,60
1623060108,73,72
1623063676,59,58
1623067273,85,57
1623070874,74,50
1623074500,65,63
1623078100,59,59
1623081699,75,55
1623085269,46,63
1623088907,60,68
1623092474,44,57
1623096110,58,55
1623099699,56,62
1623103273,56,48
1623106873,57,57
1623110500,49,66
1623114073,65,57
1623117693,54,49
1623121269,58,77
1623124873,71,51
1623128499,70,61
1623132074,56,55
1623135669,65,56
1623139299,77,65
1623142893,69,75
1623146501,59,63
1623150083,68,41
1623153695,69,46
1623157300,64,54
1623160874,53,54
1623164500,51,38
1623168096,59,61
1623171716,51,40
1623175296,57,53
1623178905,47,43
1623182494,56,56
1623186094,54,51
1623189720,59,59
1623193293,34,42
1623196910,42,46
1623200520,56,49
1623204115,63,36
1623207720,65,58
1623211324,74,52
1623214918,52,41
1623218493,64,56
1623222093,70,69
1623225692,83,78
1623229447,76,77
1623232920,66,47
1623236493,74,61
1623240094,64,41
1623243699,49,46
1623247274,60,48
1623250899,42,60
1623254507,40,58
1623258101,60,72
1623261672,56,41
1623265294,45,62
1623268896,32,59
1623272501,38,44
1623276105,43,42
1623279693,74,37
1623283299,60,52
1623286872,48,56
1623290510,49,28
1623294093,61,50
1623297703,45,40
1623301293,52,45
1623304903,75,49
1623308495,69,49
1623312110,53,56
1623315721,52,67
1623319294,54,63
1623322915,52,70
1623326476,66,62
1623330083,48,44
1623333695,63,56
1623337277,58,60
1623340876,45,52
1623344521,54,65
1623348120,45,50
1623351710,51,47
1623355289,66,47
1623358874,32,38
1623362476,39,49
1623366088,40,45
1623369694,38,58
1623373304,29,60
1623376904,53,84
1623380493,58,67
1623384094,61,49
1623387722,64,63
1623391310,71,56
1623394894,57,55
1623398500,63,74
1623402097,49,85
1623405707,58,55
1623409289,67,60
1623412891,51,57
1623416503,58,68
1623420103,64,55
1623423694,52,38
1623427293,47,43
1623430921,41,44
1623434548,35,37
1623438094,55,31
1623441721,37,49
1623445292,32,51
1623448924,31,43
1623452494,38,42
1623456098,42,37
1623459695,77,43
1623463312,61,41
1623466909,48,28
1623470495,65,49
1623474106,46,43
1623477671,37,43
1623481293,81,49
1623484921,57,45
1623488493,38,42
1623492070,41,43
1623495710,49,53
1623499294,38,54
1623502892,41,40
1623506512,58,57
1623510094,55,72
1623513676,52,46
1623517321,52,44
1623520913,58,53
1623524470,73,47
1623528111,68,37
1623531692,34,38
1623535321,44,55
1623538911,49,55
1623542471,33,33
1623546094,29,45
1623549673,49,38
1623553303,37,39
1623556894,40,48
1623560501,49,48
1623564117,39,49
1623567681,45,57
1623571303,40,68
1623574901,53,81
1623578493,47,76
1623582104,42,76
1623585692,38,70
1623589298,45,69
1623592873,45,78
1623596474,95,70
1623600110,263,68
1623603694,137,85
1623607308,117,62
1623610908,116,50
1623614505,92,57
1623618109,95,48
1623621694,78,65
1623625301,62,69
1623628910,67,132
1623632509,92,72
1623636095,70,59
