DateTime,AddedIPs,RemovedIPs
1623945938,18,0
1623946541,16,0
1623946837,7,0
1623947139,12,0
1623947734,19,0
1623948036,7,0
1623948344,7,0
1623948636,15,0
1623948934,16,0
1623949242,9,0
1623949833,20,0
1623950139,6,0
1623950435,13,0
1623950739,9,0
1623951334,21,1
1623951635,6,0
1623952237,11,0
1623952534,11,0
1623952839,8,0
1623953435,18,0
1623953743,10,0
1623954036,8,0
1623954640,15,0
1623955236,1,0
1623955541,22,0
1623956133,21,0
1623956443,9,0
1623956740,5,0
1623957341,21,0
1623957634,8,0
1623958240,20,0
1623958534,8,0
1623958835,2,0
1623959141,5,0
1623959733,17,0
1623960041,8,0
1623960635,19,0
1623960940,3,0
1623961234,11,0
1623961538,6,0
1623962134,18,0
1623962435,4,0
1623962743,7,0
1623963035,8,0
1623963339,12,0
1623963644,9,0
1623964233,17,0
1623964834,14,0
1623965136,10,0
1623965733,8,0
1623966034,5,0
1623966339,7,0
1623966634,11,0
1623966933,6,0
1623967244,8,0
1623967834,104,0
1623968138,73,0
1623968436,6,0
1623969042,10,0
1623969333,5,0
1623969940,12,0
1623970237,8,0
1623970533,6,0
1623970841,9,0
1623971435,15,0
1623971739,9,0
1623972335,14,0
1623972640,8,0
1623972937,6,0
1623973235,7,0
1623973836,19,0
1623974133,4,0
1623974446,2,0
1623975034,21,0
1623975344,4,0
1623975637,8,0
1623976240,16,0
1623976534,4,0
1623976834,7,0
1623977436,13,0
1623978046,10,0
1623978336,7,0
1623978941,13,0
1623979237,1,0
1623979841,12,0
1623980136,8,0
1623980741,12,0
1623981334,13,0
1623981643,5,0
1623982233,13,0
1623982544,6,0
1623982836,8,0
1623983438,9,0
1623983734,5,0
1623984036,5,0
1623984634,16,0
1623985239,19,0
1623985834,16,0
1623986142,7,0
1623986437,4,0
1623986737,7,0
1623987039,12,0
1623987336,5,0
1623987634,11,0
1623988235,11,0
1623988534,9,0
1623988842,2,0
1623989434,8,0
1623990035,20,0
1623990336,6,0
1623990639,8,0
1623990934,7,0
1623991235,6,0
1623991836,16,0
1623992443,9,0
1623993034,13,0
1623993338,13,1
1623993634,11,0
1623994239,7,0
1623994535,11,0
1623994835,8,1
1623995436,10,0
1623995733,2,0
1623996041,10,0
1623996634,19,0
1623996946,4,0
1623997234,2,0
1623997840,101,0
1623998134,10,0
1623998436,9,0
1623999036,17,0
1623999639,120,0
1624000233,16,0
1624000543,4,0
1624000837,9,0
1624001138,5,0
1624001438,6,0
1624001738,7,0
1624002034,8,0
1624002636,13,0
1624002934,14,0
1624003241,13,0
1624003538,10,0
1624004139,19,0
1624004435,1,0
1624005041,11,0
1624005634,5,0
1624005938,6,0
1624006236,8,0
1624006534,11,0
1624006843,8,0
1624007434,8,0
1624007742,8,0
1624008037,7,0
1624008337,14,0
1624008639,7,0
1624008939,7,0
1624009234,6,0
1624009838,10,0
1624010134,17,0
1624010442,11,0
1624011034,20,0
1624011346,11,0
1624011635,7,0
1624012240,10,0
1624012535,8,0
1624012835,7,0
1624013436,13,0
1624014041,17,0
1624014337,9,0
1624014938,10,0
1624015234,5,0
1624015535,2,0
1624015844,6,0
1624016133,7,0
1624016435,11,0
1624017037,12,0
1624017640,17,0
1624017938,8,0
1624018237,9,0
1624018540,13,0
1624019134,21,0
1624019735,12,0
1624020035,11,0
1624020637,8,0
1624020938,9,0
1624021244,5,0
1624021834,21,0
1624022143,6,0
1624022437,4,0
1624023040,18,0
1624023635,19,0
1624023941,10,0
1624024238,7,0
1624024534,8,0
