DateTime,AddedIPs,RemovedIPs
1614615536,256,256
1614619867,512,512
1614622810,256,256
1614625270,256,256
1614633827,512,512
1614658638,256,256
1614659493,256,256
1614698602,1792,1792
1614706262,256,256
1614712951,256,256
1614716453,256,256
1614720054,256,256
1614727803,256,256
1614773703,1024,1024
1614778256,256,256
1614780061,256,256
1614784718,256,256
1614787274,256,256
1614788409,256,256
1614792142,512,512
1614798072,256,256
1614799569,512,512
1614806852,256,256
1614814281,256,256
1614867671,2048,2048
1614871356,256,256
1614873666,256,256
1614875463,256,256
1614878353,512,512
1614893226,256,256
1614946656,1792,1792
1614964997,256,256
1614970894,256,256
1614987109,256,256
1614994312,256,256
1615050959,768,768
1615051268,256,256
1615062120,256,256
1615066292,256,256
1615130341,768,768
1615141644,256,256
1615177050,256,256
1615177908,256,256
1615220103,512,512
1615221059,256,256
1615224604,256,256
1615253487,256,256
1615299351,1536,1536
1615300255,256,256
1615309262,256,256
1615332684,256,256
1615385751,1024,1024
1615389834,256,256
1615402866,256,256
1615404668,256,256
1615408389,256,256
1615411900,256,256
1615419085,256,256
1615420894,256,256
1615422685,256,256
1615426285,256,256
1615475752,1792,1792
1615476368,256,256
1615483859,256,256
1615489262,256,256
1615491064,256,256
1615498203,512,512
1615555348,1280,1280
1615561255,256,256
1615562644,256,256
1615573804,256,256
1615577488,256,256
1615648555,1536,1536
1615649097,256,256
1615656369,256,256
1615663804,256,256
1615665677,256,256
1615671323,256,256
1615672876,256,256
1615674714,256,256
1615678544,256,256
1615734944,768,768
1615739239,256,256
1615741250,256,256
1615753858,256,256
1615761198,256,256
1615764663,256,256
1615817732,1024,1024
1615818643,768,768
1615822204,256,256
1615825803,512,512
1615833053,256,256
1615846675,256,256
1615855167,256,256
1615901440,1024,1024
1615919453,256,256
1615948268,256,256
1615988173,768,768
1615990982,256,256
1616012632,256,256
1616016659,256,256
1616019874,256,256
1616027403,256,256
1616077842,768,768
1616160638,1536,1536
1616163763,256,256
1616167496,256,256
1616171020,256,256
1616180453,256,256
1616185858,256,256
1616192761,512,512
1616232705,256,256
1616239844,768,768
1616243760,256,256
1616245247,256,256
1616246745,256,256
1616251142,256,256
1616252454,256,256
1616257435,256,256
1616275881,256,256
1616279473,256,256
1616286693,256,256
1616333165,512,512
1616336535,256,256
1616340247,256,256
1616343615,256,256
1616347865,256,256
1616350810,512,512
1616353272,256,256
1616356891,256,256
1616358126,512,512
1616369404,256,256
1616372615,512,512
1616415739,1536,1536
1616418055,256,256
1616419858,256,256
1616423107,512,512
1616434039,256,256
1616444431,256,256
1616459507,256,256
1616466703,256,256
1616542255,1280,1280
1616603434,768,768
1616645749,256,256
1616678566,768,768
1616682135,256,256
1616689834,256,256
1616696576,256,256
1616733037,256,256
1616765492,1280,1280
1616772886,256,256
1616775772,512,512
1616778037,256,256
1616782935,512,512
1616787042,256,256
1616788844,256,256
1616790176,512,512
1616794246,256,256
1617359474,1280,1280
1617373897,1280,1280
1617377847,256,256
1617381040,256,256
1617382841,256,256
1617386443,256,256
1617388565,256,256
1617396107,256,256
1617993393,2304,2304
1617994847,256,256
1618087000,1280,1280
1618101050,256,256
1618104364,256,256
1618146052,0,0
1618155299,1280,1280
1618156833,256,256
1618158809,256,256
1618173317,256,256
1618180084,256,256
1618193978,256,256
1618234432,768,768
1618245410,256,256
1618250439,256,256
1618252432,256,256
1618259782,256,256
1618324751,1024,1024
1618329635,256,256
1618338639,256,256
1618340442,256,256
1618346251,256,256
1618351245,256,256
1618410611,1024,1024
1618417930,256,256
1618425310,256,256
1618428350,256,256
1618444855,256,256
1618493539,1792,1792
1618497045,256,256
1618504347,256,256
1618511599,256,256
1618518881,512,512
1618525848,256,256
1618582533,1280,1280
1618583433,256,256
1618587004,256,256
1618590636,256,256
1618669382,768,768
1618684240,256,256
1618705852,256,256
1618713051,256,256
1618759215,512,512
1618770175,256,256
1618837815,768,768
1618842634,256,256
1618849298,256,256
1618857041,256,256
1618871447,256,256
1618875050,256,256
1618878646,256,256
1618885853,256,256
1618928419,1024,1024
1618932137,256,256
1618935854,256,256
1618942953,256,256
1618950169,256,256
1618965053,256,256
1619018103,512,512
1619020840,256,256
1619022636,256,256
1619024439,256,256
1619100903,768,768
1619109038,256,256
1619110841,256,256
1619115420,256,256
1619118043,256,256
1619128849,256,256
1619137854,256,256
1619145054,256,256
1619187323,1024,1024
1619188234,256,256
1619191836,256,256
1619202642,256,256
1619216556,256,256
1619222452,256,256
1619224203,256,256
1619277395,1024,1024
1619289042,256,256
1619290841,256,256
1619295666,256,256
1619356533,1792,1792
1619374761,256,256
1619395253,256,256
1619450296,1536,1536
1619452834,256,256
1619453907,512,512
1619456435,256,256
1619461233,768,768
1619463637,256,256
1619467242,256,256
1619468653,512,512
1619470841,256,256
1619474446,256,256
1619476243,512,512
1619483447,512,512
1619529569,1280,1280
1619535634,256,256
1619541036,768,768
1619544055,256,256
