DateTime,AddedIPs,RemovedIPs
1623991930,16,18
1623993864,27,11
1623995766,275,28
1623997949,75,65
1623999856,157,16
1624001789,65,23
1624003689,138,14
1624005625,22,22
1624007562,33,20
1624008602,302,2
1624009459,24,23
1624011382,26,0
1624013533,100,20
1624015449,99,19
1624017703,257,17
1624020302,163,0
1624021943,23,23
1624023846,16,0
1624023902,148,0
1624026021,23,32
1624027930,171,16
1624029847,12,11
1624031779,50,22
1624033931,199,14
1624035868,176,18
1624037768,21,0
1624038302,152,0
1624039946,12,30
1624041848,19,0
1624041902,166,0
1624043778,22,12
1624045687,44,17
1624047623,123,39
1624049530,17,20
1624051449,26,25
1624053383,170,14
1624055288,103,25
1624057219,18,19
1624057947,400,385
1624059126,24,10
1624060570,172,45
1624061300,118,10
1624063221,21,12
1624065133,14,15
1624067059,16,12
1624068002,202,3694
1624071370,13,40
1624071602,116,0
1624072327,46,0
1624073299,18,22
1624075227,23,12
1624076168,122,0
1624077139,15,17
1624079059,108,10
1624080981,23,25
1624082403,194,0
1624082890,23,23
1624083854,17,0
1624084806,11,25
1624086001,133,0
1624086984,21,28
1624088886,24,19
1624090819,18,32
1624092730,13,21
1624093202,227,0
1624094677,24,28
1624096568,35,25
1624096802,128,0
1624098500,29,19
1624100413,21,22
1624102328,28,16
1624104513,149,23
1624106412,177,0
1624108568,20,22
1624110741,30,18
1624111203,310,0
1624112652,21,21
1624114579,18,18
1624116732,20,13
1624118671,18,18
1624120571,258,18
1624122501,19,18
1624124428,22,20
1624125602,226,0
1624126325,16,0
1624128261,23,25
1624130165,22,0
1624132329,22,41
1624134247,169,22
1624136176,28,16
1624137302,307,0
1624138084,20,21
1624140018,21,18
1624141942,25,15
1624143853,13,13
1624144502,201,0
1624145777,24,11
1624146249,43,0
1624147697,14,0
1624149618,102,3693
1624150823,387,405
1624151770,12,38
1624153701,16,14
1624155607,171,0
1624157530,15,0
1624157765,44,41
1624159460,111,17
1624161368,11,24
1624163533,265,23
1624165702,45,108
1624167622,26,25
1624169532,38,44
1624170602,246,0
1624171448,30,9
1624173382,25,0
1624175288,24,37
1624177210,19,0
