DateTime,AddedIPs,RemovedIPs
1624362124,7,0
1624362724,7,0
1624363924,8,0
1624364524,6,0
1624365724,12,0
1624366324,1,0
1624367524,9,0
1624368124,8,0
1624368725,3,0
1624369324,12,0
1624369924,6,0
1624370524,1,0
1624371124,1,0
1624372381,7,0
1624372924,4,1
1624373524,9,0
1624374123,15,0
1624374724,9,0
1624375324,5,0
1624375981,1,0
1624376523,7,0
1624377123,5,0
1624377724,5,0
1624378323,2,0
1624378923,11,0
1624379524,18,0
1624380124,4,0
1624380724,1,0
1624381323,5,0
1624381924,13,0
1624383125,13,0
1624383724,4,0
1624384324,1,0
1624384924,6,0
1624386124,13,0
1624386781,24,0
1624387324,16,0
1624387924,2,0
1624388524,11,0
1624389124,11,0
1624390382,9,0
1624390924,7,0
1624391524,4,0
1624392124,5,0
1624393324,5,0
1624394524,18,0
1624395724,8,0
1624396324,9,0
1624396924,4,0
1624398124,11,0
1624398724,8,0
1624399324,3,0
1624400524,4,0
1624401724,5,0
1624402324,4,0
1624402924,4,0
1624403524,2,1
1624404124,7,0
1624404781,0,1
1624405324,3,0
1624405924,3,0
1624406524,1,0
1624407124,13,0
1624407724,5,0
1624408924,2,0
1624409524,4,0
1624410124,2,0
1624410724,5,0
1624411324,1,0
1624411924,2,0
1624411981,1,1
1624413124,3,0
1624413724,7,0
1624415582,4,0
1624416124,4,0
1624417324,1,0
1624417924,9,0
1624418524,2,0
1624419724,2,0
1624420924,1,0
1624422124,24,0
1624422724,1,0
1624423324,3,0
1624424524,4,0
1624425124,6,0
1624425724,2,0
1624426924,2,0
1624428124,1,0
1624428724,4,0
1624429324,1,0
1624430524,4,0
1624431124,4,0
1624431724,1,0
1624432924,2,0
1624434124,4,0
1624434725,4,0
1624435324,2,0
1624435924,6,0
1624437723,1,0
1624438324,5,0
1624438924,1,0
1624440124,1,0
1624440724,16,0
1624441324,2,0
1624441924,29,0
1624442524,4,0
1624443124,4,0
1624443723,1,0
1624444924,6,0
1624445524,6,0
1624446124,11,0
1624446724,75,0
1624447323,4,0
1624448523,26,0
1624449724,23,0
1624450324,4,0
1624450924,5,0
1624452123,14,1
1624453324,28,0
1624453924,3,0
1624454524,2,0
1624455181,4,0
1624455724,1,0
1624456924,4,0
1624457524,9,0
1624458124,7,0
1624458724,2,0
1624459924,38,0
1624460524,6,1
1624461124,23,0
1624461724,9,0
1624462324,16,0
1624462924,67,0
1624464124,14,0
1624464724,1,0
1624465323,4,0
1624465982,3,0
1624467124,8,0
1624467723,11,0
1624468923,6,0
1624470123,5,0
1624471324,2,0
1624472524,4,0
1624473123,1,0
1624474323,2,0
1624476723,18,0
1624477324,2,0
1624478524,7,0
1624479723,4,0
1624480382,9,0
1624480923,3,0
1624482123,5,0
1624482724,2,0
1624483324,2,0
1624483924,1,0
1624483981,5,0
1624484523,4,0
1624485124,7,0
1624485724,5,1
1624486324,1,0
1624486924,4,0
1624487524,7,0
1624488124,2,0
1624488724,11,0
1624489324,5,0
1624489924,5,0
1624490524,6,0
1624491181,4,0
1624492324,6,0
1624492924,3,0
1624493524,1,0
1624494123,17,0
1624494724,13,0
1624494781,1,0
1624495324,19,0
1624495924,20,0
1624497124,11,0
1624497724,2,0
1624500124,22,0
1624500724,18,0
1624501324,18,0
1624501981,8,0
1624502524,2,0
1624503724,11,0
1624504924,10,0
1624506124,10,0
1624507323,14,0
1624507924,5,0
1624508524,7,0
1624509181,3,0
1624510324,4,1
1624510924,9,0
1624511524,4,0
1624512124,4,0
1624513324,15,0
1624513923,6,0
1624514524,3,0
1624515123,2,0
1624515724,4,0
1624516381,1,0
1624516924,1,0
1624518124,5,0
1624518723,1,0
1624520524,3,0
1624521124,11,0
1624521723,6,0
1624522324,4,0
1624523525,7,0
1624524123,3,0
1624524723,3,1
1624525924,2,0
1624526524,3,0
1624527724,11,0
1624528923,6,0
1624530123,1,0
1624530781,9,0
1624531323,4,0
1624532523,9,0
1624533124,6,0
1624533724,1,0
1624534324,2,0
1624534923,60,0
1624536123,9,0
1624536723,6,0
1624537323,7,0
1624538524,3,0
1624539724,11,0
1624540324,1,0
1624541581,25,0
1624542124,4,0
1624542723,1,0
1624543324,12,1
1624545124,55,0
1624545724,22,1
1624546324,15,0
1624546923,46,0
1624548123,17,1
1624548724,6,0
1624549323,8,0
1624549923,20,0
1624550524,5,0
1624551123,9,0
1624551723,5,0
1624552324,2,0
1624552924,13,0
1624553524,8,0
1624554123,18,0
1624554724,2,0
1624555324,6,0
1624555981,1,0
1624556523,1,0
1624557723,18,0
1624558324,1,0
1624558923,8,0
1624560123,3,0
1624560723,20,0
1624561323,2,0
1624561924,19,0
1624562523,111,0
1624563181,1,0
1624563723,7,0
1624564323,11,0
1624564923,35,0
1624566124,16,0
1624566781,3,0
1624567324,22,0
1624568523,6,0
1624569123,6,0
1624569723,14,0
1624570923,6,0
1624571523,1,0
1624572123,14,0
1624572723,12,0
1624573323,4,0
1624574523,10,0
1624575724,14,1
1624576324,3,0
1624577581,12,0
1624578123,10,0
1624578723,6,0
1624579324,1,0
1624580523,5,0
1624581124,1,1
1624581723,4,0
1624582323,4,0
1624582924,5,0
1624583524,14,0
1624584123,1,0
1624584781,10,0
1624585323,5,0
1624585924,1,0
1624586523,6,0
1624587723,6,0
1624588923,10,0
1624590124,3,0
1624590724,3,0
1624591324,4,0
1624592524,9,0
1624593123,6,0
1624593724,5,0
1624594323,2,0
1624594924,2,0
1624596124,8,0
1624596724,1,0
1624597324,2,0
1624597924,9,0
1624598523,8,0
1624599182,2,0
1624599724,5,0
1624600923,4,0
1624602123,2,0
1624603324,1,0
1624604524,12,0
1624605723,3,0
1624606923,2,0
1624607524,2,0
1624608124,1,0
1624608723,4,0
1624610523,1,0
1624611124,3,0
1624611723,4,0
1624612324,1,0
1624612924,2,0
1624613581,1,0
1624614123,2,0
1624617724,3,0
1624618323,1,0
1624618924,4,0
1624619523,2,0
1624621323,6,0
1624621923,3,0
1624623124,4,0
1624623724,3,0
1624625524,3,0
1624626123,10,0
1624626723,4,0
1624627323,1,0
1624629723,2,0
1624630324,3,0
1624630924,2,0
1624631581,1,0
1624632724,5,0
1624633323,33,0
1624634524,2,0
1624635182,11,0
1624635723,3,0
1624636923,1,0
1624638123,1,0
1624639323,1,0
1624640523,1,0
1624641124,2,0
1624641724,2,0
1624644124,1,0
1624644723,10,0
1624645323,1,0
1624646523,2,0
1624648324,4,1
1624648923,2,0
1624650124,2,0
1624651324,2,0
1624652524,5,0
1624653724,4,0
1624654924,2,0
1624656123,2,0
1624657324,2,0
1624658523,1,0
1624659124,2,0
1624660381,3,0
1624660923,6,0
1624662124,1,0
1624663324,4,0
1624664524,8,0
1624665124,1,0
1624665724,1,0
1624666324,1,0
1624666923,2,0
1624669324,6,0
1624669923,1,0
1624670524,1,0
1624671124,2,0
1624673524,7,0
1624674124,1,0
1624675323,1,0
1624675923,2,0
1624676524,3,0
1624677124,5,0
1624678381,7,0
1624678924,4,0
1624680124,1,0
1624681324,2,0
1624682524,6,0
1624684324,5,0
1624684924,2,0
1624686724,1,0
1624687924,4,0
1624688524,1,0
1624689124,2,0
1624689723,2,0
1624690924,26,2
1624691524,13,0
1624693923,19,0
1624694524,9,0
1624695124,1,0
1624695724,1,0
1624696381,0,1
1624696924,1,0
1624697524,4,0
1624698124,4,0
1624698724,16,0
1624699324,1,0
1624699981,1,1
1624700523,1,0
1624701724,5,0
1624702323,0,1
1624704124,2,0
1624705324,7,0
1624705924,4,0
1624706523,7,0
1624707723,5,0
1624708323,1,0
1624710123,12,0
1624710781,4,0
1624711324,13,0
1624711924,2,0
1624713724,5,0
1624714924,5,0
1624716124,1,0
1624716724,2,0
1624717324,1,0
1624717981,2,0
1624718524,5,0
1624719723,4,0
1624720923,14,0
1624722124,5,0
1624722723,11,0
1624723324,2,0
1624723923,2,0
1624724524,6,0
1624725181,1,0
1624725723,1,0
1624726323,1,0
1624727523,4,0
1624728781,2,0
1624729324,2,0
1624731724,18,0
1624732323,1,0
1624732923,2,0
1624733523,8,0
1624735323,1,0
1624735981,0,1
1624736524,1,0
1624737123,1,0
1624737723,6,0
1624738324,2,1
1624740124,39,1
1624740723,13,0
1624741323,3,0
1624742523,8,0
1624743724,2,0
1624746123,3,0
1624747324,3,0
1624748523,3,0
1624749723,2,0
1624750924,1,0
1624751524,5,0
1624753982,1,0
1624754523,1,0
1624755723,1,0
1624757582,20,0
1624758123,5,0
1624759324,8,2
1624759924,2,0
1624760523,3,0
1624761724,1,0
1624762924,1,0
1624766524,3,0
1624767723,9,0
1624768924,2,0
1624769523,3,0
1624770124,1,0
1624771323,1,0
1624773123,1,0
1624773723,2,0
1624774323,3,0
1624774923,4,0
1624775523,1,0
1624776123,2,0
1624779181,4,0
