DateTime,AddedIPs,RemovedIPs
1623812421,74,71
1623814343,84,72
1623816253,69,70
1623818429,123,107
1623820332,67,75
1623822264,81,55
1623824428,103,98
1623826331,73,60
1623828248,60,53
1623830504,98,72
1623832329,58,83
1623834270,74,68
1623836411,106,85
1623838347,72,3765
1623840250,88,84
1623842187,1790,0
1623844087,89,72
1623846021,111,80
1623847928,75,84
1623849846,71,82
1623851781,114,103
1623853690,95,60
1623855631,86,78
1623857528,77,44
1623859698,104,77
1623861621,109,74
1623863529,97,47
1623865463,105,66
1623867368,96,107
1623869302,76,66
1623871452,83,91
1623873367,121,80
1623875300,68,60
1623877219,85,77
1623879142,92,60
1623881053,76,63
1623882981,76,83
1623884895,1482,0
1623886821,67,62
1623888730,56,50
1623890648,70,74
1623892582,75,76
1623894484,58,89
1623896425,63,44
1623898329,72,60
1623900263,51,41
1623902169,44,56
1623904108,53,57
1623906084,75,59
1623907948,69,42
1623909856,69,75
1623911786,67,83
1623913698,57,69
1623915623,70,76
1623917547,45,55
1623919450,67,65
1623921382,62,54
1623923285,69,52
1623925449,75,4112
1623927383,100,101
1623929304,2010,0
1623931212,106,88
1623933373,89,123
1623935304,57,71
1623937454,87,105
1623939383,90,90
1623941286,66,73
1623943223,96,84
1623945369,100,99
1623947299,72,93
1623949230,97,105
1623951382,81,92
1623953544,99,96
1623955694,116,81
1623957865,126,100
1623959772,113,101
1623961703,93,44
1623963624,109,102
1623965787,101,86
1623967945,77,103
1623969978,87,85
1623972008,1746,0
1623973948,71,62
1623975849,76,70
1623978041,91,98
1623979947,60,74
1623981876,43,73
1623983769,76,64
1623985948,64,72
1623987850,48,86
1623990027,84,96
1623991931,66,82
1623993864,83,66
1623995767,72,82
1623997950,64,83
1623999857,63,66
1624001790,57,91
1624003690,64,56
1624005626,81,73
1624007562,76,66
1624009459,58,75
1624011382,76,3788
1624013534,108,103
1624015450,1726,0
1624017704,109,92
1624019770,100,84
1624021944,92,77
1624023846,95,66
1624026021,126,84
1624027931,75,64
1624029847,97,54
1624031780,89,46
1624033932,125,61
1624035869,91,69
1624037769,112,95
1624039947,134,74
1624041848,83,70
1624043779,101,81
1624045688,92,70
1624047624,91,81
1624049531,94,78
1624051449,88,72
1624053383,93,83
1624055288,70,63
1624057220,1409,0
1624059127,90,66
1624061301,72,64
1624063222,61,59
1624065133,46,54
1624067060,65,52
1624069208,76,56
1624071371,60,69
1624073300,61,41
1624075228,93,32
1624077140,77,45
1624079060,47,59
1624080982,97,80
1624082891,76,58
1624084807,63,54
1624086984,85,86
1624088887,69,64
1624090820,75,67
1624092731,59,69
1624094678,78,67
1624096569,102,73
1624098501,65,3697
1624100415,1761,0
1624102329,94,78
1624104514,94,86
1624106413,106,85
1624108569,95,93
1624110742,93,74
1624112653,75,59
1624114580,90,73
1624116733,101,73
1624118672,79,70
1624120572,124,90
1624122502,87,81
1624124429,99,78
1624126326,92,65
1624128262,133,68
1624130166,130,67
1624132329,122,73
1624134247,99,70
1624136177,112,96
1624138085,64,80
1624140019,83,77
1624141942,84,77
1624143854,1499,0
1624145778,74,67
1624147698,53,60
1624149619,90,76
1624151771,108,69
1624153701,76,46
1624155608,58,46
1624157531,52,59
1624159461,58,47
1624161369,76,64
1624163534,65,78
1624165703,54,79
1624167623,66,67
1624169533,60,58
1624171449,50,60
1624173383,53,62
1624175289,53,54
1624177211,80,75
1624179144,59,73
1624181051,48,83
1624182967,82,76
1624184903,51,3958
1624186818,1813,0
1624188729,94,85
1624190668,93,54
1624192572,104,79
1624194489,88,45
1624196425,100,77
1624198331,57,86
1624200264,96,51
1624202169,92,66
1624204336,88,111
1624206262,75,77
1624208173,74,80
1624210331,172,87
1624212503,123,96
1624214420,94,84
1624216332,74,61
1624218248,89,116
1624220183,70,81
1624222085,65,65
1624224007,79,71
1624225943,80,109
1624227846,73,72
1624229764,101,88
1624231698,1538,0
1624233619,56,53
1624235537,54,49
1624237453,44,41
1624239380,58,60
1624241301,61,71
1624243462,71,58
1624245607,56,52
1624247524,65,83
1624249458,41,68
1624251367,75,71
1624253302,59,69
1624255230,71,75
1624257125,66,66
1624259066,49,69
1624260969,61,75
1624262900,50,73
1624264807,69,52
1624266972,84,83
1624268915,75,78
1624270805,70,3786
1624272729,99,81
1624274660,1642,0
1624276568,89,82
1624278485,97,63
1624280425,93,112
1624282331,101,77
1624284258,90,83
1624286179,97,57
1624288086,60,51
1624290008,72,63
1624291943,90,69
1624293849,167,68
1624295771,135,59
1624297699,85,68
1624299608,86,68
1624301525,84,73
1624303459,69,56
1624305368,108,63
1624307301,87,72
1624309219,72,68
1624311127,100,57
1624313070,67,65
1624314970,67,54
1624317131,1358,0
1624319071,48,64
1624321208,56,51
1624323129,103,82
1624325060,52,61
1624326968,68,87
1624328901,67,42
1624330820,84,56
1624332725,75,51
1624334667,65,51
1624336570,90,69
1624338727,59,52
