DateTime,Entries,UniqueIPs
1623337202,3666,3666
1623339901,3709,3709
1623342601,3728,3728
1623345301,3776,3776
1623348001,3697,3697
1623350702,3749,3749
1623353401,3795,3795
1623356102,3867,3867
1623358801,3946,3946
1623361501,3974,3974
1623364201,3963,3963
1623366901,4009,4009
1623369602,3927,3927
1623372301,3671,3671
1623375001,3579,3579
1623378601,3512,3512
1623381301,3386,3386
1623384001,3309,3309
1623386701,3321,3321
1623389402,3199,3199
1623393001,3299,3299
1623396602,3260,3260
1623400202,3206,3206
1623402902,3161,3161
1623405601,3223,3223
1623408301,3249,3249
1623411002,3138,3138
1623413701,3247,3247
1623416401,3390,3390
1623419101,3428,3428
1623421801,3466,3466
1623425401,3481,3481
1623428101,3506,3506
1623430801,3497,3497
1623433501,3578,3578
1623436201,3562,3562
1623439801,3451,3451
1623443402,3484,3484
1623446101,3393,3393
1623448801,3436,3436
1623451501,3251,3251
1623454201,3215,3215
1623457801,3098,3098
1623461401,3022,3022
1623465001,3053,3053
1623467701,3001,3001
1623470401,3007,3007
1623473101,2950,2950
1623475801,2863,2863
1623478501,2737,2737
1623481201,2895,2895
1623483901,3051,3051
1623486601,3090,3090
1623490201,3072,3072
1623493801,3135,3135
1623497401,3038,3038
1623501002,3000,3000
1623503701,3014,3014
1623506401,3199,3199
1623509102,4149,4149
1623511801,10391,10391
1623515402,14211,14211
1623518102,15869,15869
1623520802,17208,17208
1623523502,18462,18462
1623526202,19318,19318
1623529802,20276,20276
1623532503,20912,20912
1623535202,20666,20666
1623537902,21156,21156
1623540603,21593,21593
1623544203,22040,22040
1623546902,22550,22550
1623549602,22845,22845
1623553203,23044,23044
1623555902,19602,19602
1623558602,17832,17832
1623561302,17436,17436
1623564902,17134,17134
1623567601,17055,17055
1623570301,17455,17455
1623573002,18043,18043
1623576602,18578,18578
1623579302,18624,18624
1623582903,18489,18489
1623585602,19813,19813
1623588302,21195,21195
1623591003,21938,21938
1623593702,22871,22871
1623596402,23506,23506
1623599103,23678,23678
1623601803,23874,23874
1623604503,23902,23902
1623607203,23715,23715
1623609903,23482,23482
1623612603,23066,23066
1623616202,22405,22405
1623619803,21930,21930
1623622503,21436,21436
1623626103,21570,21570
1623628803,20973,20973
1623631503,19910,19910
1623634202,19287,19287
1623636902,18707,18707
1623639603,18359,18359
1623642302,18363,18363
1623645002,18321,18321
1623648602,18077,18077
1623652202,18516,18516
1623655802,19445,19445
1623659403,20290,20290
1623663002,21063,21063
1623666602,21986,21986
1623669303,21067,21067
1623672002,20777,20777
1623674703,20209,20209
1623677403,19546,19546
1623680103,18849,18849
1623682803,18130,18130
1623685502,17228,17228
1623688202,15861,15861
1623690902,14421,14421
1623694502,13034,13034
1623697201,11513,11513
1623699901,9947,9947
1623702601,8470,8470
1623705301,7043,7043
1623708002,5531,5531
1623710701,4195,4195
1623713402,4140,4140
1623716101,4004,4004
1623718802,3931,3931
1623721502,3830,3830
1623724201,3664,3664
1623726902,3505,3505
1623729601,3446,3446
1623732301,3359,3359
1623735001,3263,3263
1623737701,3154,3154
1623741301,3004,3004
1623744001,3054,3054
1623746701,3084,3084
1623749401,3112,3112
1623753001,3227,3227
1623756601,3223,3223
1623760202,3254,3254
1623762901,3326,3326
1623765601,3419,3419
1623768301,3533,3533
1623771001,3620,3620
1623773701,3694,3694
1623777301,3806,3806
1623780901,3829,3829
1623783602,3778,3778
1623786301,3825,3825
1623789001,3876,3876
1623792601,3936,3936
1623795301,3854,3854
1623798002,3906,3906
1623800701,3842,3842
1623803402,3752,3752
1623806102,3645,3645
1623808801,3546,3546
1623811501,3424,3424
1623814202,3308,3308
1623817802,3259,3259
1623820502,3153,3153
1623823201,2947,2947
1623825901,2947,2947
1623828601,2857,2857
1623832201,2641,2641
1623834901,2594,2594
1623837602,2762,2762
1623840302,5343,5343
1623843001,6606,6606
1623845701,7733,7733
1623848401,9135,9135
1623851101,10056,10056
1623853802,10220,10220
1623856501,10238,10238
1623859201,10302,10302
1623861901,10367,10367
1623864601,10405,10405
1623868201,10361,10361
1623870901,10989,10989
1623873602,13860,13860
1623876302,15316,15316
1623879002,16800,16800
1623882602,16709,16709
1623885301,16206,16206
1623888902,16249,16249
1623892502,15668,15668
1623896102,15582,15582
1623898802,16473,16473
1623901502,17150,17150
1623904202,18089,18089
1623906901,18923,18923
1623909602,19539,19539
1623912302,19951,19951
1623915002,20394,20394
1623917702,18961,18961
1623920401,18128,18128
1623923102,17430,17430
1623925802,18126,18126
1623929402,18228,18228
1623932102,18574,18574
1623935702,20505,20505
1623938402,21203,21203
1623941103,21348,21348
1623943803,21857,21857
1623946503,22614,22614
1623950103,21960,21960
1623953703,22424,22424
1623956402,22848,22848
1623959103,22451,22451
1623961802,22040,22040
1623964502,22545,22545
1623968103,22097,22097
1623970803,20619,20619
1623973502,19447,19447
1623976201,18119,18119
1623979802,15023,15023
1623982502,13954,13954
1623985202,13013,13013
1623987901,13516,13516
1623990602,12925,12925
1623994202,13768,13768
1623997802,13629,13629
1624001401,13256,13256
1624005002,13379,13379
1624007701,13434,13434
1624010402,13508,13508
1624013102,14317,14317
1624015802,15302,15302
1624019401,16693,16693
1624023003,18438,18438
1624025702,19131,19131
1624028402,20788,20788
1624031102,20913,20913
1624033802,21189,21189
1624037402,20786,20786
1624041002,21253,21253
1624044602,21865,21865
1624047303,22239,22239
1624050003,21810,21810
1624052703,21646,21646
1624055403,20958,20958
1624059002,20583,20583
1624061702,20232,20232
1624065302,19078,19078
1624068002,18316,18316
1624070703,17404,17404
1624073402,16199,16199
1624076102,16147,16147
1624078801,16389,16389
1624081502,16511,16511
1624084201,15993,15993
1624086902,15638,15638
1624090502,15224,15224
1624094101,15012,15012
1624096802,14371,14371
1624099501,14676,14676
1624102202,14473,14473
1624104902,15359,15359
1624107601,15314,15314
1624110302,15903,15903
1624113002,16056,16056
1624116602,15861,15861
1624119302,14788,14788
1624122002,13549,13549
1624124702,12353,12353
1624127402,11077,11077
1624131002,9827,9827
1624134601,12411,12411
1624138201,13546,13546
1624141802,14592,14592
1624145403,14663,14663
1624148102,14192,14192
1624151702,13749,13749
1624154402,13537,13537
1624157102,13205,13205
1624159802,13168,13168
1624162502,13556,13556
1624165202,13975,13975
1624167902,14603,14603
1624170602,14811,14811
1624173301,15405,15405
1624176002,15840,15840
1624178701,14691,14691
1624181402,13785,13785
1624184102,13308,13308
1624186801,14392,14392
1624189502,14838,14838
1624192201,15753,15753
1624194902,17131,17131
1624197602,18373,18373
1624200302,18643,18643
1624203001,19351,19351
1624206602,20141,20141
1624209302,19870,19870
1624212003,20414,20414
1624214702,21025,21025
1624217403,20989,20989
1624220102,21277,21277
1624222802,21181,21181
1624225503,21126,21126
1624228203,20530,20530
1624230903,19304,19304
1624233602,18120,18120
1624236302,17082,17082
1624239002,15594,15594
1624241701,15328,15328
1624245302,15137,15137
1624248002,15106,15106
1624250702,14902,14902
1624253402,14924,14924
1624256102,14309,14309
1624258802,14745,14745
1624261502,15298,15298
1624264204,15450,15450
1624267802,15895,15895
1624270501,17039,17039
1624273201,18330,18330
1624275902,19668,19668
1624278603,21406,21406
1624281302,22083,22083
1624284002,23112,23112
1624286702,22024,22024
1624289403,23272,23272
1624292103,23655,23655
1624294803,24014,24014
1624297503,24394,24394
1624300202,24808,24808
1624302903,25116,25116
1624305603,24808,24808
1624308302,24521,24521
1624311002,24605,24605
1624313703,24215,24215
1624316402,23555,23555
1624319103,22675,22675
1624321803,21244,21244
1624324502,20066,20066
1624327202,19258,19258
1624329902,19000,19000
1624332603,17684,17684
1624335302,16265,16265
1624338902,15332,15332
1624341602,14186,14186
1624344301,14250,14250
1624347002,13337,13337
1624349702,13531,13531
1624352401,13619,13619
1624355102,12310,12310
1624357801,12194,12194
1624360501,12998,12998
1624363202,12646,12646
1624365901,14023,14023
1624368603,14618,14618
1624371302,14830,14830
1624374002,15436,15436
1624376702,15043,15043
1624379402,14637,14637
1624382102,15239,15239
1624384801,16751,16751
1624387502,17304,17304
1624390202,17451,17451
1624393803,17902,17902
1624397401,17280,17280
1624401002,18214,18214
1624404601,16152,16152
1624408201,15482,15482
1624410902,14717,14717
1624413602,14414,14414
1624416302,13971,13971
1624419001,14060,14060
1624421702,14902,14902
1624424402,15818,15818
1624427102,15350,15350
1624429801,15344,15344
1624432502,15646,15646
1624435202,15611,15611
1624437902,15717,15717
1624440602,16528,16528
1624443303,17268,17268
1624446002,17463,17463
1624448703,18325,18325
1624451403,19222,19222
1624454103,19995,19995
1624456802,20635,20635
1624459503,20982,20982
1624462203,20645,20645
1624464903,21049,21049
1624467602,21222,21222
1624470303,20894,20894
1624473002,20698,20698
1624476602,19902,19902
1624479302,19441,19441
1624482002,19157,19157
1624484703,18840,18840
1624487402,18456,18456
1624491002,18395,18395
1624493703,17543,17543
1624496402,16971,16971
1624499102,16495,16495
1624501802,16062,16062
1624504502,16142,16142
1624507203,16477,16477
1624509902,16196,16196
1624512602,16256,16256
1624515303,16813,16813
1624518002,17258,17258
1624520703,17998,17998
1624523402,18409,18409
1624526102,18247,18247
1624528802,18288,18288
1624531502,18518,18518
1624534202,17955,17955
1624537803,18803,18803
1624541403,19039,19039
1624545003,19406,19406
1624548603,19372,19372
1624551303,19766,19766
1624554003,20243,20243
1624556703,20960,20960
1624559402,21087,21087
1624562102,21077,21077
1624565702,20754,20754
1624568402,20949,20949
1624571103,20599,20599
1624573802,20374,20374
1624577403,20238,20238
1624580102,19705,19705
1624582802,18956,18956
1624585503,18972,18972
1624588204,18707,18707
1624590902,18090,18090
1624593601,18094,18094
1624596302,17312,17312
1624599002,16496,16496
1624602603,15047,15047
1624606202,15246,15246
1624608901,15133,15133
1624611601,14903,14903
1624614301,15129,15129
