DateTime,AddedIPs,RemovedIPs
1624383724,6,2
1624384324,11,4
1624386124,17,1
1624386724,27,0
1624387324,11,0
1624387924,2,2
1624388524,13,0
1624389124,10,3
1624390324,10,2
1624390924,11,9
1624392124,6,11
1624392724,8,5
1624393925,11,0
1624394524,11,0
1624395724,7,2
1624396324,9,2
1624396924,7,0
1624398124,10,1
1624398724,7,11
1624399324,5,2
1624400524,7,2
1624401724,5,19
1624402324,3,14
1624402924,4,0
1624403524,2,0
1624404124,8,1
1624404724,3,8
1624405324,3,3
1624407124,15,1
1624407724,4,6
1624408325,1,10
1624408924,2,0
1624409524,3,3
1624410124,3,0
1624410724,5,26
1624411324,1,0
1624411924,2,8
1624413124,3,1
1624413724,8,0
1624414324,0,1
1624414924,3,1
1624416124,5,1
1624417324,9,1
1624417924,1,0
1624418524,4,0
1624419724,3,1
1624420924,3,0
1624422124,27,1
1624422724,2,0
1624423324,3,4
1624424524,8,5
1624425124,5,0
1624425724,3,0
1624426325,0,36
1624426924,5,0
1624428124,1,0
1624428724,4,2
1624429324,2,0
1624430524,5,2
1624431124,8,0
1624431724,2,2
1624432324,1,0
1624432924,2,0
1624433524,4,2
1624434124,2,1
1624434725,6,0
1624435324,3,0
1624435924,7,11
1624437723,1,0
1624438324,6,0
1624438924,2,0
1624440124,1,2
1624440724,6,0
1624441324,4,2
1624441924,33,0
1624442524,6,1
1624443124,4,7
1624443723,1,0
1624444924,6,2
1624445524,7,17
1624446124,12,0
1624446724,90,0
1624447323,4,14
1624448523,36,2
1624449724,29,11
1624450324,4,0
1624450924,7,15
1624452123,16,6
1624453324,35,0
1624453924,5,1
1624454524,5,0
1624455124,6,1
1624455724,1,0
1624456924,4,0
1624457524,14,0
1624458124,8,10
1624458724,3,0
1624459924,42,2
1624461124,26,2
1624461724,11,0
1624462324,19,2
1624462924,68,0
1624464124,16,0
1624464724,1,0
1624465323,4,0
1624465924,4,1
1624467124,9,0
1624467723,14,4
1624468923,6,0
1624470123,5,28
1624471324,4,0
1624472524,5,2
1624473123,1,0
1624473724,0,2
1624474323,0,4
1624474924,1,6
1624476723,9,1
1624477324,3,0
1624478524,8,6
1624479124,5,7
1624479723,9,1
1624480324,11,0
1624480923,4,7
1624482123,7,4
1624482724,4,2
1624483324,2,2
1624483924,4,0
1624484523,2,1
1624485124,1,1
1624486324,1,3
1624486924,4,0
1624487524,2,0
1624488124,5,0
1624488724,10,6
1624489324,6,0
1624489924,5,29
1624490524,7,1
1624491124,2,0
1624492324,2,4
1624492924,3,0
1624494123,19,2
1624494724,14,0
1624495324,17,4
1624495924,21,0
1624497124,11,16
1624497724,2,1
1624498924,15,3
1624500124,15,12
1624500724,20,0
1624501324,21,2
1624501925,9,24
1624502524,6,4
1624503724,6,11
1624504924,12,0
1624506124,8,3
1624507323,19,0
1624507924,4,0
1624508524,8,2
1624509125,3,2
1624510324,6,0
