DateTime,AddedIPs,RemovedIPs
1624239125,0,6
1624240324,1,5
1624240923,0,3
1624242123,1,0
1624242725,1,0
1624243324,1,3
1624245724,0,1
1624246924,2,0
1624248124,3,2
1624249324,1,0
1624250524,1,1
1624251724,2,0
1624252324,0,12
1624252924,2,18
1624254124,0,44
1624254724,2,0
1624256524,1,3
1624257125,1,0
1624258324,0,3
1624259524,3,0
1624260724,0,7
1624263124,0,3
1624264924,2,0
1624266124,1,0
1624266724,0,1
1624267925,2,1
1624268524,3,4
1624269723,1,1
1624271525,2,4
1624272724,0,2
1624275124,1,1
1624276324,0,2
1624276924,1,2
1624277524,1,1
1624278124,0,5
1624279924,2,0
1624280524,1,0
1624282324,2,0
1624284124,0,1
1624285924,2,0
1624286524,0,1
1624287724,1,5
1624288324,0,1
1624288924,2,0
1624289524,3,0
1624290124,1,0
1624290723,0,4
1624293124,0,1
1624293724,1,0
1624295524,0,3
1624296124,2,0
1624296724,1,0
1624298524,2,0
1624299724,1,0
1624302124,0,1
1624304524,6,2
1624305724,0,3
1624306324,0,9
1624308723,2,0
1624310524,1,0
1624312324,1,0
1624312924,0,4
1624313524,0,2
1624314124,1,0
1624314724,1,0
1624315324,2,4
1624317124,3,2
1624319524,2,0
1624320124,2,1
1624320723,0,3
1624321324,1,0
1624323124,1,2
1624323723,0,1
1624324324,0,2
1624326124,4,0
1624326724,5,0
1624327324,0,1
1624327924,1,0
1624329124,0,4
1624329724,2,3
1624330923,0,2
1624331523,0,3
1624333924,1,1
1624334524,2,0
1624335124,1,1
1624336924,1,0
1624338124,4,0
1624338725,0,2
1624339324,0,1
1624340525,1,0
1624341724,2,3
1624342324,0,3
1624343524,1,0
1624345324,1,0
1624345924,4,6
1624346523,1,0
1624348323,2,0
1624349524,3,1
1624350724,1,2
1624351324,1,0
1624352524,0,4
1624354324,1,2
1624354924,1,0
1624356724,1,2
1624357324,1,0
1624358524,6,1
1624359124,0,2
1624359724,1,0
1624360324,1,0
1624361524,2,0
1624362724,1,5
1624363324,0,6
