DateTime,AddedIPs,RemovedIPs
1616422960,2,0
1616430128,1,0
1616447969,1,0
1616455041,1,0
1616462175,5,0
1616469384,1,0
1616493562,1,0
1616497162,1,0
1616510529,3,0
1616538937,1,0
1616542491,1,0
1616546050,1,0
1616552979,2,0
1616556450,2,0
1616560005,3,0
1616563529,1,0
1616567088,1,0
1616574155,1,0
1616577708,1,0
1616581245,1,0
1616588276,2,0
1616614543,4,0
1616618021,1,0
1616621799,2,0
1616625519,1,0
1616643542,2,0
1616650555,1,0
1616657594,3,0
1616664972,3,0
1616675723,1,0
1616691226,2,0
1616698262,3,0
1616705213,1,0
1616711750,1,0
1616720817,1,0
1616735160,2,0
1616738712,1,0
1616749573,1,0
1616756779,1,0
1616764155,1,0
1616774787,1,0
1616792331,1,0
1616799400,2,0
1617358783,63,380
1617361747,1,0
1617365550,1,0
1617372736,1,0
1617382261,2,0
1617999751,87,0
1618015154,2,0
1618022331,1,0
1618029715,1,0
1618051243,4,0
1618058680,1,0
1618152184,7,144
1618157902,7,0
1618186086,5,0
1618189722,1,0
1618193337,2,0
1618196953,2,0
1618213574,3,0
1618239241,8,0
1618296126,8,0
1618303217,2,0
1618348375,2,0
1618369512,4,0
1618397839,1,0
1618447827,4,0
1618454894,2,0
1618480957,4,0
1618488065,1,0
1618519079,8,0
1618522687,1,0
1618533622,1,0
1618540721,1,0
1618551652,2,0
1618565551,2,0
1618569075,1,0
1618572615,1,0
1618589200,2,0
1618603436,1,0
1618606861,2,0
1618622289,1,0
1618631741,2,0
1618639072,2,0
1618642927,1,0
1618648579,2,0
1618655761,1,0
1618663136,2,0
1618673908,2,0
1618684276,1,0
1618695165,2,0
1618725912,1,0
1618735891,3,0
1618739443,3,0
1618742887,1,0
1618756852,1,0
1618767867,2,0
1618775040,1,0
1618789431,1,0
1618796615,1,0
1618803781,1,0
1618834928,3,0
1618842096,1,0
1618849300,7,0
1618862515,2,0
1618866130,1,0
1618884462,3,0
1618908510,1,0
1618923065,5,0
1618933137,1,0
1618942318,1,0
1618949556,1,0
1618956862,1,0
1618967087,2,0
1618977163,2,0
1618984418,1,0
1618995290,1,0
1619006042,1,0
1619016883,1,0
1619031406,1,0
1619066077,1,0
1619095071,1,0
1619105880,3,0
1619113125,1,0
1619120344,1,0
1619127569,1,0
1619149578,2,0
1619178598,1,0
1619202713,1,0
1619232191,1,0
1619250207,1,0
1619264587,1,0
1619300610,2,0
1619307405,1,0
1619318169,1,0
1619349327,1,0
1619367574,1,0
1619378347,1,0
1619385675,43,0
1619389415,2,0
1619393114,2,0
1619396828,1,0
1619406774,1,0
1619439979,1,0
1619443979,1,0
1619454131,3,0
1619458027,1,0
1619463729,1,0
1619474503,1,0
1619478096,1,0
1619487694,2,0
1619494923,1,0
1619531089,1,0
1619540671,1,172
1619553829,1,0
1619570645,1,0
1619574222,1,0
1619578014,3,0
1619585225,1,0
1619592315,1,0
1619606147,1,0
1619616781,1,0
1619630875,2,0
1619638262,4,0
1619666728,2,0
1619688139,1,0
1619704837,1,0
1619711937,4,0
1619719029,1,0
1619726100,2,0
1619733204,1,0
1619750993,1,0
1619754388,1,0
1619785202,1,0
1619818376,2,0
1619825473,2,0
1619832906,1,0
1619838546,2,0
1619842153,1,0
1619855229,1,0
1619869423,1,0
1619900281,1,0
1619907437,3,0
1619911016,1,0
1619917001,1,0
1619924211,1,0
1619931360,2,0
1619945778,1,0
1619974625,2,0
1619981769,1,0
1620006208,1,0
1620049217,1,0
1620063537,1,0
1620077963,1,0
1620085169,2,0
1620102186,35,0
1620112022,2,0
1620134391,1,0
1620163866,1,0
1620177777,1,0
1620183698,4,0
1620193256,2,0
1620209815,5,0
1620224364,2,0
1620233951,8,0
1620241034,1,0
1620265519,1,0
1620287032,2,0
1620290557,8,0
1620294101,2,0
1620297639,1,0
1620325956,2,0
1620336257,1,0
1620359616,1,0
1620380831,3,0
1620397196,1,0
1620406593,1,0
1620442087,3,0
1620445581,1,0
1620456167,1,0
1620463325,1,0
1620470341,1,0
1620491912,1,0
1620512755,1,0
1620535565,1,0
1620539085,1,0
1620542613,3,0
1620595099,1,0
1620614195,2,0
1620645453,2,0
1620690394,2,0
1620697779,2,0
1620704900,2,0
1620719078,1,0
1620733090,2,0
1620736592,3,0
1620740089,2,0
1620743590,1,0
1620747105,1,0
1620754089,1,0
1620776805,1,0
1620787314,1,0
1620794264,3,0
1620801741,1,0
1620808715,1,0
1620844266,3,0
1620851270,1,0
1620881169,1,0
1620902143,1,0
1620925637,1,0
1620932473,1,0
1620950724,1,0
1620957499,1,0
1620960975,1,0
1620982060,1,0
1620997961,1,0
1621001422,3,0
1621014331,5,0
1621021418,1,0
1621028502,4,0
1621035547,1,0
1621042677,1,0
1621128036,1,0
1621137655,6,0
1621151774,1,0
1621155299,1,0
1621201507,1,0
1621208539,1,0
1621215569,1,0
1621253279,1,0
1621284017,1,0
1621305009,2,0
1621319015,1,0
1621345617,1,0
1621352562,2,0
1621359669,1,0
1621366563,1,0
1621380441,1,0
1621394679,2,0
1621408968,1,0
1621415963,2,0
1621433046,1,0
1621457510,1,0
1621464492,2,0
1621471342,1,0
1621502522,2,0
1621523463,1,0
1621539703,1,0
1621553896,1,0
1621566379,1,0
1621582882,1,0
1621596924,1,0
1621624509,1,0
1621644653,1,0
1621651624,2,0
1621670299,2,0
1621677226,1,0
1621711694,1,0
1621728544,1,0
1621735534,1,0
1621742255,1,0
1621768967,2,0
1621796590,1,0
1621810485,1,0
1621817521,2,0
1621821056,1,0
1621824580,2,0
1621852953,2,0
1621881135,1,0
1621888774,1,20
1621889074,0,347
1621901953,1,0
1621907545,1,0
1621914530,3,0
1621921571,2,0
1621935612,1,0
1621952830,1,0
1621959869,1,0
1621969345,3,0
1621983438,2,0
1621990392,1,0
1622000181,6,0
1622042816,2,0
1622058947,2,0
1622065774,1,0
1622072552,1,0
1622079661,1,0
1622086881,2,0
1622103600,2,0
1622120077,1,0
1622127396,1,0
1622134478,1,0
1622141484,1,0
1622151568,1,0
1622158591,2,0
1622162317,1,0
1622165836,3,0
1622169342,1,0
